DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
909708,3,909711,0.12,-0.27,9.46,0.02,-0.02,-0.00,0
909721,3,909724,0.10,-0.27,9.45,0.02,-0.02,-0.00,0
909734,3,909737,0.09,-0.27,9.43,0.02,-0.02,-0.00,0
909747,3,909750,0.11,-0.24,9.43,0.03,-0.02,0.00,0
909760,3,909763,0.08,-0.23,9.45,0.02,-0.02,-0.00,0
909773,3,909776,0.07,-0.25,9.42,0.03,-0.02,0.00,0
909786,3,909789,0.09,-0.27,9.45,0.02,-0.02,-0.00,0
909799,3,909802,0.12,-0.28,9.45,0.02,-0.02,-0.00,0
909812,3,909815,0.10,-0.30,9.47,0.02,-0.02,-0.00,0
909825,3,909828,0.09,-0.28,9.43,0.02,-0.02,-0.00,0
909838,3,909841,0.08,-0.24,9.43,0.02,-0.02,-0.00,0
909851,3,909853,0.09,-0.27,9.45,0.02,-0.02,-0.00,0
909864,0,910864,0.11,-0.28,9.44,0.02,-0.02,-0.00,0
910875,0,911875,0.08,-0.25,9.43,0.02,-0.02,-0.00,0
911884,1,911887,0.07,-0.27,9.42,0.02,-0.02,-0.00,0
911895,3,911898,0.11,-0.28,9.45,0.02,-0.02,-0.00,0
911907,0,912907,0.11,-0.27,9.44,0.02,-0.02,-0.00,0
912915,4,912918,0.11,-0.27,9.45,0.02,-0.02,-0.00,0
912928,7,912931,0.10,-0.27,9.45,0.02,-0.02,-0.00,0
912939,2,912942,0.11,-0.26,9.47,0.02,-0.02,-0.00,0
912950,4,912953,0.11,-0.27,9.43,0.02,-0.02,-0.00,0
912963,7,912966,0.10,-0.27,9.46,0.02,-0.02,-0.00,0
912974,2,912977,0.09,-0.27,9.47,0.02,-0.02,-0.00,0
912985,4,912988,0.08,-0.29,9.46,0.02,-0.02,-0.00,0
912997,4,912999,0.09,-0.28,9.43,0.02,-0.02,-0.00,0
913009,10,913012,0.09,-0.27,9.46,0.02,-0.02,-0.00,0
913020,0,914020,0.10,-0.21,9.44,0.02,-0.02,-0.00,0
914030,0,915031,0.09,-0.28,9.44,0.02,-0.02,-0.00,0
915039,3,915041,0.10,-0.28,9.44,0.02,-0.02,-0.00,0
915051,0,916051,0.09,-0.29,9.45,0.02,-0.02,-0.00,0
916060,3,916063,0.11,-0.29,9.44,0.02,-0.02,-0.00,0
916072,3,916074,0.08,-0.28,9.46,0.02,-0.02,-0.00,0
916084,3,916086,0.10,-0.29,9.44,0.02,-0.02,-0.00,0
916095,0,917096,0.08,-0.27,9.42,0.02,-0.02,-0.00,0
917104,10,917107,0.07,-0.28,9.44,0.02,-0.02,-0.00,0
917116,3,917118,0.10,-0.28,9.45,0.02,-0.02,-0.00,0
917128,3,917131,0.09,-0.28,9.45,0.02,-0.02,-0.00,0
917139,0,917142,0.11,-0.28,9.45,0.02,-0.02,-0.00,0
917151,3,917153,0.10,-0.29,9.48,0.03,-0.02,-0.00,0
917163,0,918163,0.09,-0.29,9.44,0.02,-0.02,-0.00,0
918175,1,918178,0.08,-0.29,9.45,0.02,-0.02,-0.00,0
918188,0,918190,0.07,-0.28,9.47,0.02,-0.02,-0.00,0
918199,11,918202,0.10,-0.29,9.43,0.02,-0.02,-0.00,0
918211,3,918213,0.10,-0.26,9.46,0.02,-0.02,0.00,0
918223,0,919223,0.10,-0.27,9.44,0.02,-0.02,-0.00,0
919233,3,919236,0.09,-0.30,9.42,0.02,-0.02,-0.00,0
919245,3,919248,0.12,-0.29,9.44,0.02,-0.02,-0.00,0
919258,3,919261,0.11,-0.28,9.45,0.02,-0.02,-0.00,0
919270,3,919273,0.09,-0.27,9.45,0.02,-0.02,-0.00,0
919283,3,919286,0.09,-0.28,9.44,0.02,-0.02,-0.00,0
919295,3,919298,0.08,-0.28,9.46,0.02,-0.02,-0.00,0
919308,3,919311,0.06,-0.28,9.43,0.02,-0.02,-0.00,0
919320,3,919323,0.07,-0.28,9.43,0.02,-0.02,-0.00,0
919333,3,919336,0.09,-0.29,9.43,0.02,-0.02,-0.00,0
919344,0,920344,0.12,-0.28,9.45,0.02,-0.02,-0.00,0
920353,1,920355,0.12,-0.27,9.43,0.02,-0.02,-0.00,0
920364,3,920366,0.12,-0.27,9.39,0.02,-0.02,-0.00,0
920377,3,920379,0.10,-0.28,9.43,0.02,-0.02,-0.00,0
920387,0,921388,0.10,-0.28,9.43,0.02,-0.02,-0.00,0
921398,4,921401,0.10,-0.27,9.42,0.02,-0.02,-0.00,0
921410,4,921412,0.10,-0.28,9.44,0.03,-0.02,-0.00,0
921423,0,921425,0.09,-0.29,9.45,0.02,-0.02,-0.00,0
921434,3,921436,0.06,-0.25,9.47,0.02,-0.02,-0.00,0
921449,3,921451,0.08,-0.30,9.47,0.02,-0.02,-0.00,0
921464,3,921466,0.12,-0.34,9.42,0.02,-0.02,-0.00,0
921479,0,921482,0.08,-0.25,9.43,0.02,-0.02,-0.00,0
921493,0,921495,0.11,-0.27,9.45,0.02,-0.02,-0.00,0
921505,3,921508,0.10,-0.25,9.44,0.02,-0.02,-0.00,0
921519,3,921521,0.10,-0.27,9.45,0.03,-0.02,-0.00,0
921534,3,921536,0.10,-0.29,9.44,0.03,-0.02,-0.00,0
921549,3,921551,0.10,-0.28,9.43,0.02,-0.02,-0.00,0
921563,3,921566,0.09,-0.32,9.46,0.02,-0.02,-0.00,0
921575,3,921578,0.11,-0.29,9.44,0.02,-0.02,-0.00,0
921588,3,921591,0.10,-0.29,9.44,0.02,-0.02,-0.00,0
921600,3,921603,0.11,-0.29,9.46,0.02,-0.02,-0.00,0
921613,0,921615,0.09,-0.28,9.42,0.02,-0.02,-0.00,0
921628,4,921630,0.10,-0.28,9.41,0.02,-0.02,-0.00,0
921640,0,922641,0.10,-0.27,9.42,0.02,-0.02,-0.00,0
922649,15,922652,0.08,-0.28,9.42,0.02,-0.02,-0.00,0
922662,0,923662,0.08,-0.26,9.44,0.02,-0.02,-0.00,0
923672,3,923675,0.11,-0.29,9.45,0.02,-0.02,-0.00,0
923684,3,923687,0.12,-0.28,9.45,0.02,-0.02,-0.00,0
923697,3,923699,0.14,-0.29,9.45,0.02,-0.02,0.00,0
923709,4,923711,0.12,-0.29,9.44,0.03,-0.02,-0.00,0
923720,0,924720,0.10,-0.30,9.47,0.02,-0.02,-0.00,0
924729,1,924732,0.10,-0.28,9.43,0.02,-0.02,0.00,0
924740,3,924742,0.11,-0.28,9.45,0.02,-0.02,-0.00,0
924752,4,924755,0.10,-0.28,9.45,0.02,-0.02,-0.00,0
924763,0,925764,0.10,-0.28,9.45,0.02,-0.02,-0.00,0
