DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
20.45,353.0,0.21,0.45,7.35,0.02,-0.02,0.0,0
20.45,365.0,0.25,0.54,8.96,0.02,-0.02,0.0,0
20.45,375.0,0.26,0.55,9.3,0.02,-0.02,0.0,0
20.43,385.0,0.28,0.56,9.36,0.02,-0.02,0.0,0
20.45,395.0,0.25,0.55,9.36,0.02,-0.02,0.0,0
20.45,405.0,0.28,0.55,9.38,0.02,-0.02,0.0,0
20.43,415.0,0.27,0.56,9.38,0.02,-0.02,0.0,0
20.45,425.0,0.28,0.56,9.41,0.02,-0.02,0.0,0
20.45,435.0,0.26,0.57,9.4,0.02,-0.02,0.0,0
20.45,445.0,0.3,0.57,9.39,0.02,-0.02,0.0,0
20.45,455.0,0.28,0.57,9.39,0.02,-0.02,0.0,0
20.45,465.0,0.29,0.56,9.4,0.02,-0.02,0.0,0
20.45,475.0,0.28,0.57,9.39,0.02,-0.02,0.0,0
20.45,485.0,0.29,0.55,9.41,0.02,-0.02,0.0,0
20.45,495.0,0.26,0.57,9.39,0.02,-0.02,0.0,0
20.43,505.0,0.29,0.56,9.4,0.02,-0.02,0.0,0
20.45,515.0,0.27,0.58,9.38,0.02,-0.02,0.0,0
20.45,525.0,0.29,0.57,9.37,0.02,-0.02,0.0,0
20.45,535.0,0.28,0.58,9.39,0.02,-0.02,0.0,0
20.43,545.0,0.28,0.57,9.42,0.02,-0.02,0.0,0
20.45,555.0,0.26,0.57,9.41,0.02,-0.02,0.0,0
20.45,565.0,0.28,0.57,9.38,0.02,-0.02,0.0,0
20.45,575.0,0.28,0.57,9.38,0.02,-0.02,0.0,0
20.45,585.0,0.29,0.57,9.36,0.02,-0.02,0.0,0
20.45,595.0,0.26,0.57,9.41,0.02,-0.02,0.0,0
29.93,605.0,0.27,0.54,9.4,0.02,-0.02,0.0,0
20.43,615.0,0.27,0.54,9.42,0.02,-0.02,0.0,0
20.45,625.0,0.27,0.57,9.42,0.02,-0.02,0.0,0
20.45,635.0,0.26,0.57,9.39,0.02,-0.02,0.0,0
20.45,645.0,0.3,0.57,9.36,0.02,-0.02,0.0,0
20.43,655.0,0.26,0.58,9.37,0.02,-0.02,0.0,0
20.45,665.0,0.29,0.58,9.39,0.02,-0.02,0.0,0
20.45,675.0,0.25,0.57,9.45,0.02,-0.02,0.0,0
20.43,685.0,0.28,0.58,9.41,0.02,-0.02,0.0,0
20.45,695.0,0.26,0.56,9.39,0.02,-0.02,0.0,0
20.45,705.0,0.28,0.56,9.36,0.02,-0.02,0.0,0
20.45,715.0,0.26,0.54,9.38,0.02,-0.02,0.0,0
20.43,725.0,0.27,0.56,9.4,0.02,-0.02,0.0,0
20.45,735.0,0.28,0.57,9.4,0.02,-0.02,0.0,0
20.43,745.0,0.29,0.56,9.39,0.02,-0.02,0.0,0
20.45,755.0,0.27,0.56,9.41,0.02,-0.02,0.0,0
21.69,765.0,0.31,0.56,9.4,0.02,-0.02,0.0,0
20.45,775.0,0.28,0.54,9.37,0.02,-0.02,0.0,0
20.45,785.0,0.3,0.56,9.38,0.02,-0.02,0.0,0
20.43,795.0,0.28,0.58,9.39,0.02,-0.02,0.0,0
20.43,805.0,0.28,0.57,9.41,0.02,-0.02,0.0,0
21.67,815.0,0.27,0.55,9.41,0.02,-0.02,0.0,0
20.45,825.0,0.29,0.55,9.39,0.02,-0.02,0.0,0
20.45,835.0,0.28,0.56,9.39,0.02,-0.02,0.0,0
20.45,845.0,0.29,0.56,9.38,0.02,-0.02,0.0,0
20.43,855.0,0.26,0.54,9.39,0.02,-0.02,0.0,0
20.45,865.0,0.3,0.56,9.41,0.02,-0.02,0.0,0
20.45,875.0,0.27,0.55,9.4,0.02,-0.02,0.0,0
20.45,885.0,0.28,0.57,9.41,0.02,-0.02,0.0,0
20.45,895.0,0.27,0.54,9.41,0.02,-0.02,0.0,0
20.45,905.0,0.27,0.55,9.39,0.02,-0.02,0.0,0
20.45,915.0,0.26,0.55,9.38,0.02,-0.02,0.0,0
