DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
2045330,42,2045335,0.00,-0.32,9.43,0.02,-0.02,-0.01,0
2045349,42,2045354,0.00,-0.32,9.41,0.02,-0.02,-0.01,0
2045368,42,2045373,0.01,-0.29,9.41,0.02,-0.02,-0.01,0
2045387,42,2045392,0.01,-0.29,9.43,0.02,-0.02,-0.01,0
2045406,42,2045411,-0.01,-0.30,9.38,0.02,-0.02,-0.01,0
2045425,42,2045430,0.02,-0.32,9.40,0.02,-0.02,-0.01,0
2045444,42,2045449,0.02,-0.30,9.41,0.02,-0.02,-0.01,0
2045463,42,2045468,0.02,-0.29,9.41,0.02,-0.02,-0.01,0
2045482,42,2045487,0.00,-0.31,9.42,0.02,-0.02,-0.01,0
2045501,42,2045506,-0.01,-0.29,9.42,0.02,-0.02,-0.01,0
2045520,42,2045525,-0.00,-0.31,9.40,0.02,-0.02,-0.01,0
2045539,42,2045544,0.02,-0.30,9.43,0.02,-0.02,-0.01,0
2045558,42,2045563,0.02,-0.31,9.41,0.02,-0.02,-0.01,0
2045577,42,2045582,-0.01,-0.32,9.37,0.02,-0.02,-0.01,0
2045596,42,2045601,-0.01,-0.30,9.43,0.02,-0.02,-0.01,0
2045615,42,2045620,0.01,-0.29,9.45,0.02,-0.02,-0.01,0
2045634,42,2045639,0.02,-0.32,9.41,0.02,-0.02,-0.01,0
2045653,42,2045658,0.01,-0.32,9.41,0.02,-0.02,-0.01,0
2045672,42,2045677,-0.01,-0.30,9.43,0.02,-0.02,-0.01,0
2045691,42,2045696,-0.00,-0.30,9.43,0.02,-0.02,-0.01,0
2045710,42,2045715,0.02,-0.28,9.43,0.02,-0.02,-0.01,0
2045729,42,2045734,0.01,-0.29,9.39,0.02,-0.02,-0.01,0
2045748,42,2045753,0.01,-0.32,9.39,0.02,-0.02,-0.01,0
2045767,42,2045772,0.00,-0.31,9.43,0.02,-0.02,-0.01,0
2045786,42,2045791,0.04,-0.30,9.43,0.02,-0.02,-0.01,0
2045805,42,2045810,0.01,-0.30,9.43,0.02,-0.02,-0.01,0
2045824,42,2045829,-0.00,-0.31,9.44,0.02,-0.02,-0.01,0
2045843,42,2045848,0.01,-0.30,9.41,0.02,-0.02,-0.01,0
2045862,42,2045867,0.01,-0.30,9.43,0.02,-0.02,-0.01,0
2045881,42,2045886,0.01,-0.32,9.41,0.02,-0.02,-0.01,0
2045900,42,2045905,0.00,-0.31,9.41,0.02,-0.02,-0.01,0
2045920,58,2045925,0.02,-0.29,9.43,0.02,-0.02,-0.01,0
2045939,42,2045944,0.01,-0.29,9.40,0.02,-0.02,-0.01,0
