DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
0.0,345.0,0.04,-0.03,2.65,0.03,-0.02,0.0,0
29.0,353.0,0.1,-0.09,6.73,0.03,-0.02,0.0,0
30.0,361.0,0.11,-0.09,8.49,0.03,-0.02,0.0,0
30.0,369.0,0.11,-0.1,9.12,0.03,-0.02,0.0,0
30.0,377.0,0.11,-0.11,9.31,0.03,-0.02,0.0,0
30.0,385.0,0.11,-0.11,9.41,0.02,-0.02,0.0,0
30.0,393.0,0.11,-0.11,9.4,0.02,-0.02,0.0,0
30.0,401.0,0.12,-0.11,9.39,0.02,-0.02,0.0,0
30.0,409.0,0.13,-0.11,9.41,0.02,-0.02,0.0,0
30.0,417.0,0.13,-0.12,9.43,0.02,-0.02,0.0,0
30.0,425.0,0.11,-0.11,9.41,0.03,-0.02,0.0,0
30.0,433.0,0.12,-0.11,9.41,0.03,-0.02,0.0,0
30.0,441.0,0.12,-0.12,9.44,0.02,-0.02,0.0,0
30.0,449.0,0.13,-0.11,9.42,0.03,-0.02,0.0,0
30.0,457.0,0.13,-0.11,9.41,0.03,-0.02,0.0,0
30.0,465.0,0.12,-0.11,9.39,0.03,-0.02,0.0,0
30.0,473.0,0.12,-0.11,9.45,0.03,-0.02,0.0,0
30.0,481.0,0.11,-0.1,9.42,0.03,-0.02,0.0,0
30.0,489.0,0.12,-0.1,9.41,0.02,-0.02,0.0,0
30.0,497.0,0.11,-0.09,9.4,0.03,-0.02,0.0,0
30.0,505.0,0.11,-0.09,9.41,0.03,-0.02,0.0,0
30.0,513.0,0.11,-0.09,9.39,0.03,-0.02,0.0,0
30.0,521.0,0.11,-0.1,9.39,0.03,-0.02,0.0,0
30.0,529.0,0.13,-0.11,9.39,0.02,-0.02,0.0,0
30.0,537.0,0.12,-0.11,9.4,0.03,-0.02,0.0,0
30.0,545.0,0.12,-0.11,9.39,0.03,-0.02,0.0,0
30.0,553.0,0.12,-0.11,9.39,0.03,-0.02,0.0,0
30.0,561.0,0.11,-0.13,9.4,0.03,-0.02,0.0,0
30.0,569.0,0.11,-0.11,9.4,0.02,-0.02,0.0,0
30.0,577.0,0.13,-0.12,9.41,0.03,-0.02,0.0,0
30.0,585.0,0.14,-0.12,9.4,0.02,-0.02,0.0,0
30.0,593.0,0.13,-0.11,9.42,0.02,-0.02,0.0,0
30.0,601.0,0.14,-0.11,9.43,0.02,-0.02,0.0,0
30.0,609.0,0.13,-0.12,9.42,0.02,-0.02,0.0,0
30.0,617.0,0.13,-0.11,9.43,0.02,-0.02,0.0,0
30.0,625.0,0.12,-0.11,9.4,0.02,-0.02,0.0,0
30.0,633.0,0.14,-0.11,9.4,0.02,-0.02,0.0,0
30.0,641.0,0.14,-0.1,9.4,0.02,-0.02,0.0,0
30.0,649.0,0.12,-0.08,9.39,0.02,-0.02,0.0,0
30.0,657.0,0.13,-0.08,9.38,0.03,-0.02,0.0,0
30.0,665.0,0.13,-0.1,9.4,0.02,-0.02,0.0,0
30.0,673.0,0.13,-0.12,9.39,0.03,-0.02,0.0,0
30.0,681.0,0.14,-0.1,9.39,0.02,-0.02,0.0,0
30.0,689.0,0.15,-0.11,9.41,0.03,-0.02,0.0,0
30.0,697.0,0.14,-0.1,9.39,0.02,-0.02,0.0,0
30.0,705.0,0.15,-0.1,9.38,0.03,-0.02,0.0,0
30.0,713.0,0.14,-0.12,9.39,0.03,-0.02,0.0,0
30.0,721.0,0.13,-0.12,9.4,0.02,-0.02,0.0,0
30.0,729.0,0.12,-0.1,9.43,0.02,-0.02,0.0,0
30.0,737.0,0.13,-0.08,9.42,0.03,-0.02,0.0,0
30.0,745.0,0.13,-0.11,9.42,0.03,-0.02,0.0,0
30.0,753.0,0.14,-0.12,9.42,0.03,-0.02,0.0,0
30.0,761.0,0.14,-0.11,9.42,0.02,-0.02,0.0,0
30.0,769.0,0.14,-0.11,9.4,0.03,-0.02,0.0,0
30.0,777.0,0.12,-0.12,9.44,0.03,-0.02,0.0,0
30.0,785.0,0.13,-0.11,9.42,0.02,-0.02,0.0,0
30.0,793.0,0.15,-0.13,9.43,0.02,-0.02,0.0,0
30.0,801.0,0.14,-0.11,9.41,0.03,-0.02,0.0,0
30.0,809.0,0.14,-0.11,9.42,0.03,-0.02,0.0,0
30.0,817.0,0.13,-0.11,9.4,0.03,-0.02,0.0,0
30.0,825.0,0.13,-0.11,9.39,0.03,-0.02,0.0,0
30.0,833.0,0.12,-0.11,9.4,0.02,-0.02,0.0,0
30.0,841.0,0.12,-0.11,9.44,0.03,-0.02,0.0,0
30.0,849.0,0.13,-0.1,9.42,0.03,-0.02,0.0,0
30.0,857.0,0.13,-0.1,9.43,0.03,-0.02,0.0,0
30.0,865.0,0.13,-0.1,9.4,0.03,-0.02,0.0,0
30.0,873.0,0.13,-0.11,9.39,0.03,-0.02,0.0,0
30.0,881.0,0.13,-0.09,9.41,0.03,-0.02,0.0,0
30.0,889.0,0.11,-0.1,9.41,0.02,-0.02,0.0,0
30.0,897.0,0.12,-0.11,9.42,0.02,-0.02,0.0,0
30.0,905.0,0.12,-0.11,9.41,0.02,-0.02,0.0,0
30.0,913.0,0.14,-0.11,9.4,0.02,-0.02,0.0,0
30.0,921.0,0.14,-0.12,9.42,0.02,-0.02,0.0,0
30.0,929.0,0.13,-0.13,9.42,0.02,-0.02,0.0,0
30.0,937.0,0.14,-0.13,9.4,0.02,-0.02,0.0,0
30.0,945.0,0.14,-0.11,9.4,0.02,-0.02,0.0,0
30.0,953.0,0.14,-0.12,9.41,0.02,-0.02,0.0,0
30.0,961.0,0.12,-0.1,9.4,0.02,-0.02,0.0,0
30.0,969.0,0.13,-0.1,9.41,0.02,-0.02,0.0,0
30.0,977.0,0.12,-0.1,9.4,0.02,-0.02,0.0,0
30.0,985.0,0.13,-0.11,9.42,0.02,-0.02,0.0,0
30.0,993.0,0.13,-0.11,9.42,0.02,-0.02,0.0,0
30.0,1001.0,0.12,-0.11,9.41,0.02,-0.02,0.0,0
30.0,1009.0,0.12,-0.11,9.41,0.02,-0.02,0.0,0
30.0,1017.0,0.12,-0.11,9.43,0.02,-0.02,0.0,0
30.0,1025.0,0.11,-0.11,9.41,0.02,-0.02,0.0,0
30.0,1033.0,0.11,-0.1,9.43,0.02,-0.02,0.0,0
30.0,1041.0,0.11,-0.11,9.4,0.02,-0.02,0.0,0
30.0,1049.0,0.12,-0.11,9.41,0.02,-0.02,0.0,0
30.0,1057.0,0.11,-0.11,9.42,0.02,-0.02,0.0,0
30.0,1065.0,0.12,-0.12,9.43,0.02,-0.02,0.0,0
30.0,1073.0,0.12,-0.11,9.45,0.02,-0.02,0.0,0
30.0,1081.0,0.11,-0.11,9.45,0.02,-0.02,0.0,0
30.0,1089.0,0.12,-0.11,9.42,0.02,-0.02,0.0,0
30.0,1097.0,0.14,-0.11,9.4,0.02,-0.02,0.0,0
30.0,1105.0,0.14,-0.11,9.4,0.03,-0.02,0.0,0
30.0,1113.0,0.12,-0.1,9.41,0.03,-0.02,0.0,0
30.0,1121.0,0.13,-0.1,9.4,0.03,-0.02,0.0,0
30.0,1129.0,0.12,-0.11,9.41,0.03,-0.02,0.0,0
30.0,1137.0,0.12,-0.12,9.39,0.02,-0.02,0.0,0
30.0,1145.0,0.12,-0.11,9.41,0.02,-0.02,0.0,1
30.0,1154.0,0.13,-0.11,9.42,0.02,-0.02,0.0,1
