DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
792530,3,792533,0.11,-0.28,9.41,0.02,-0.02,-0.00,0
792543,3,792546,0.10,-0.30,9.40,0.02,-0.02,-0.00,0
792556,3,792559,0.11,-0.30,9.43,0.02,-0.02,-0.00,0
792569,3,792572,0.09,-0.29,9.44,0.02,-0.02,-0.00,0
792582,3,792585,0.10,-0.28,9.42,0.02,-0.02,-0.00,0
792595,3,792598,0.08,-0.28,9.43,0.03,-0.02,-0.00,0
792608,3,792611,0.09,-0.27,9.41,0.02,-0.02,-0.00,0
792621,0,793621,0.07,-0.27,9.48,0.02,-0.02,-0.00,0
793631,3,793634,0.09,-0.26,9.47,0.02,-0.02,-0.00,0
793644,3,793647,0.08,-0.27,9.45,0.02,-0.02,0.00,0
793657,3,793660,0.06,-0.29,9.44,0.02,-0.02,-0.00,0
793670,3,793673,0.08,-0.28,9.44,0.02,-0.02,-0.00,0
793683,3,793686,0.11,-0.30,9.45,0.02,-0.02,-0.00,0
793696,3,793699,0.11,-0.27,9.43,0.03,-0.02,-0.00,0
793709,3,793712,0.09,-0.27,9.45,0.02,-0.02,-0.00,0
793722,3,793725,0.11,-0.27,9.44,0.03,-0.02,-0.00,0
793735,3,793738,0.12,-0.26,9.46,0.02,-0.02,-0.00,0
793748,3,793751,0.11,-0.25,9.45,0.02,-0.02,0.00,0
793761,3,793764,0.09,-0.26,9.44,0.02,-0.02,-0.00,0
793774,3,793777,0.08,-0.25,9.43,0.02,-0.02,-0.00,0
793787,3,793790,0.10,-0.26,9.42,0.02,-0.02,-0.00,0
793800,3,793803,0.07,-0.27,9.45,0.02,-0.02,-0.00,0
793813,3,793816,0.07,-0.27,9.43,0.02,-0.02,-0.00,0
793826,3,793829,0.06,-0.29,9.43,0.02,-0.02,-0.00,0
793839,3,793842,0.06,-0.31,9.43,0.02,-0.02,-0.00,0
793852,3,793855,0.07,-0.36,9.43,0.02,-0.02,-0.00,0
793865,3,793868,0.04,-0.30,9.44,0.03,-0.02,-0.00,0
793878,3,793881,0.08,-0.23,9.47,0.03,-0.02,-0.00,0
793891,3,793894,0.10,-0.21,9.45,0.02,-0.02,-0.00,0
793904,3,793907,0.11,-0.22,9.45,0.02,-0.02,-0.00,0
793916,0,794916,0.10,-0.29,9.43,0.02,-0.02,0.00,0
794926,4,794929,0.11,-0.28,9.47,0.02,-0.02,0.00,0
794939,4,794942,0.09,-0.27,9.44,0.02,-0.02,-0.00,0
794952,4,794955,0.08,-0.26,9.45,0.02,-0.02,-0.00,0
794965,4,794968,0.08,-0.25,9.44,0.03,-0.02,-0.00,0
794978,4,794981,0.09,-0.25,9.44,0.02,-0.02,-0.00,0
794991,4,794994,0.08,-0.28,9.46,0.02,-0.02,-0.00,0
795004,4,795007,0.12,-0.28,9.45,0.02,-0.02,-0.00,0
795017,4,795020,0.11,-0.29,9.44,0.02,-0.02,-0.00,0
795030,4,795033,0.10,-0.29,9.45,0.02,-0.02,-0.00,0
795043,4,795046,0.09,-0.30,9.44,0.02,-0.02,-0.00,0
795056,4,795059,0.06,-0.28,9.45,0.02,-0.02,-0.00,0
795069,4,795072,0.08,-0.26,9.47,0.02,-0.02,-0.00,0
795082,4,795085,0.09,-0.26,9.43,0.02,-0.02,0.00,0
795095,4,795098,0.07,-0.27,9.43,0.02,-0.02,-0.00,0
795108,4,795111,0.08,-0.27,9.43,0.02,-0.02,-0.00,0
795121,4,795124,0.08,-0.28,9.45,0.02,-0.02,-0.00,0
795134,4,795137,0.08,-0.28,9.46,0.02,-0.02,-0.00,0
