DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
23.84,1314767.0,-5.21,3.04,-11.25,-0.85,-0.9,1.01,0
23.83,1314777.0,-5.31,3.24,-11.01,-0.77,-0.87,0.9,0
23.24,1314787.0,-5.27,3.41,-10.81,-0.7,-0.9,0.77,0
22.36,1314797.0,-4.96,3.47,-10.66,-0.66,-0.9,0.65,0
22.36,1314807.0,-4.75,3.45,-10.45,-0.63,-0.84,0.58,0
21.5,1314817.0,-4.84,3.37,-10.12,-0.6,-0.73,0.6,0
21.48,1314827.0,-5.01,3.36,-9.91,-0.57,-0.59,0.67,0
21.48,1314837.0,-4.77,3.52,-10.08,-0.57,-0.46,0.74,0
20.22,1314847.0,-4.81,3.63,-9.99,-0.57,-0.36,0.76,0
20.22,1314857.0,-5.12,3.75,-9.82,-0.55,-0.32,0.72,0
19.91,1314867.0,-5.43,3.96,-9.72,-0.5,-0.34,0.67,0
19.59,1314877.0,-5.41,4.11,-9.77,-0.46,-0.4,0.59,0
19.26,1314887.0,-5.51,4.21,-9.74,-0.43,-0.45,0.51,0
18.6,1314897.0,-5.55,4.28,-9.67,-0.4,-0.47,0.45,0
18.29,1314907.0,-5.39,4.36,-9.8,-0.39,-0.46,0.41,0
18.93,1314917.0,-5.02,4.28,-9.88,-0.38,-0.37,0.38,0
18.28,1314927.0,-4.43,4.2,-9.9,-0.37,-0.15,0.36,0
17.64,1314937.0,-4.41,4.16,-9.8,-0.35,0.14,0.35,0
17.97,1314947.0,-5.1,4.23,-9.77,-0.33,0.38,0.33,0
17.31,1314957.0,-5.64,4.2,-9.66,-0.3,0.47,0.29,0
17.66,1314967.0,-5.89,4.23,-9.62,-0.27,0.46,0.22,0
17.97,1314977.0,-6.12,4.21,-9.57,-0.24,0.39,0.12,0
17.0,1314987.0,-6.22,4.24,-9.55,-0.22,0.25,0.01,0
16.98,1314997.0,-5.93,4.17,-9.52,-0.2,0.11,-0.07,0
17.31,1315007.0,-5.49,4.13,-9.54,-0.17,0.07,-0.09,0
17.33,1315017.0,-5.26,4.1,-9.45,-0.13,0.1,-0.09,0
17.31,1315027.0,-5.13,4.19,-9.45,-0.1,0.14,-0.09,0
17.31,1315037.0,-5.04,4.15,-9.41,-0.07,0.15,-0.11,0
18.29,1315047.0,-5.12,4.15,-9.29,-0.02,0.15,-0.14,0
16.98,1315057.0,-5.15,4.04,-9.15,0.03,0.13,-0.14,0
17.97,1315067.0,-5.18,4.05,-9.07,0.1,0.11,-0.14,0
17.97,1315077.0,-5.1,4.02,-9.04,0.14,0.07,-0.13,0
17.64,1315087.0,-5.04,4.06,-8.95,0.18,0.02,-0.14,0
17.31,1315097.0,-5.02,4.07,-8.88,0.2,-0.04,-0.14,0
18.28,1315107.0,-4.75,4.04,-8.73,0.21,-0.09,-0.15,0
17.97,1315117.0,-4.56,4.04,-8.63,0.23,-0.1,-0.15,0
17.64,1315126.0,-4.55,4.01,-8.57,0.25,-0.08,-0.13,0
18.6,1315137.0,-4.65,4.02,-8.47,0.25,-0.06,-0.08,0
18.29,1315147.0,-4.7,4.12,-8.44,0.23,-0.06,-0.04,0
17.97,1315157.0,-4.59,4.05,-8.3,0.22,-0.07,-0.02,0
18.93,1315167.0,-4.54,4.03,-8.24,0.25,-0.05,0.01,0
18.62,1315177.0,-4.64,4.11,-8.27,0.3,-0.02,0.02,0
19.26,1315187.0,-4.71,4.21,-8.31,0.34,-0.01,0.01,0
18.93,1315197.0,-4.75,4.32,-8.26,0.37,-0.04,-0.02,0
18.62,1315207.0,-4.74,4.36,-8.17,0.37,-0.07,-0.05,0
19.26,1315217.0,-4.6,4.33,-8.1,0.37,-0.08,-0.07,0
18.93,1315227.0,-4.55,4.32,-8.04,0.37,-0.08,-0.1,0
19.59,1315237.0,-4.57,4.34,-8.0,0.37,-0.08,-0.12,0
19.26,1315247.0,-4.49,4.41,-8.05,0.34,-0.07,-0.12,0
19.9,1315257.0,-4.27,4.39,-8.05,0.3,-0.03,-0.13,0
19.59,1315267.0,-4.33,4.36,-7.93,0.28,0.01,-0.14,0
20.55,1315277.0,-4.42,4.34,-7.9,0.27,0.05,-0.14,0
19.9,1315287.0,-4.43,4.3,-7.91,0.27,0.08,-0.14,0
20.88,1315297.0,-4.4,4.29,-7.92,0.27,0.11,-0.16,0
20.55,1315307.0,-4.37,4.28,-7.98,0.27,0.15,-0.17,0
21.21,1315317.0,-4.27,4.28,-8.03,0.26,0.2,-0.2,0
20.88,1315327.0,-4.3,4.3,-8.1,0.23,0.24,-0.24,0
21.48,1315335.0,-4.25,4.29,-8.13,0.2,0.29,-0.26,0
21.19,1315345.0,-4.32,4.31,-8.2,0.16,0.37,-0.26,0
20.86,1315356.0,-4.5,4.38,-8.25,0.12,0.45,-0.25,0
21.48,1315365.0,-4.69,4.47,-8.35,0.08,0.51,-0.24,0
21.19,1315375.0,-4.74,4.57,-8.36,0.04,0.55,-0.24,0
21.78,1315385.0,-4.98,4.75,-8.4,0.02,0.53,-0.28,0
21.48,1315395.0,-5.22,4.9,-8.52,0.02,0.47,-0.32,0
22.66,1315405.0,-5.21,4.96,-8.63,0.03,0.41,-0.34,0
21.48,1315415.0,-5.13,5.08,-8.78,0.04,0.39,-0.34,0
22.07,1315425.0,-4.96,5.19,-8.95,0.05,0.37,-0.35,0
22.36,1315435.0,-4.87,5.27,-9.19,0.04,0.35,-0.38,0
22.97,1315445.0,-4.75,5.25,-9.37,0.03,0.34,-0.43,0
22.36,1315454.0,-4.47,5.17,-9.41,0.02,0.35,-0.47,0
22.66,1315464.0,-4.16,5.08,-9.47,0.0,0.41,-0.51,0
22.97,1315474.0,-4.09,4.88,-9.46,-0.01,0.5,-0.53,0
23.26,1315484.0,-4.27,4.72,-9.47,-0.02,0.59,-0.52,0
23.55,1315494.0,-4.63,4.56,-9.5,-0.03,0.61,-0.5,0
24.72,1315504.0,-4.93,4.48,-9.52,-0.03,0.58,-0.46,0
25.9,1315514.0,-4.91,4.36,-9.53,-0.03,0.52,-0.43,0
25.02,1315524.0,-4.66,4.32,-9.61,-0.01,0.45,-0.41,0
25.31,1315534.0,-4.49,4.39,-9.77,0.0,0.38,-0.41,0
25.31,1315544.0,-4.36,4.35,-9.94,-0.0,0.3,-0.43,0
27.07,1315554.0,-4.39,4.19,-10.01,0.01,0.25,-0.43,0
27.36,1315564.0,-4.42,4.01,-10.0,0.04,0.21,-0.42,0
27.36,1315574.0,-4.46,3.87,-10.03,0.1,0.2,-0.38,0
28.22,1315584.0,-4.48,3.81,-10.1,0.16,0.2,-0.33,0
28.76,1315594.0,-4.32,3.77,-10.12,0.21,0.21,-0.28,0
28.76,1315604.0,-4.19,3.71,-10.1,0.26,0.24,-0.24,0
29.28,1315614.0,-4.17,3.67,-10.03,0.3,0.3,-0.19,0
29.81,1315624.0,-4.13,3.64,-9.97,0.33,0.38,-0.13,0
30.34,1315635.0,-4.05,3.69,-10.02,0.34,0.44,-0.11,0
