DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
0.0,14729.0,0.22,-0.13,9.44,0.02,-0.02,0.0,0
14.0,14735.0,0.23,-0.13,9.42,0.02,-0.02,0.0,0
25.0,14742.0,0.22,-0.14,9.42,0.02,-0.02,0.0,0
15.0,14748.0,0.24,-0.13,9.43,0.02,-0.02,0.0,0
11.0,14754.0,0.22,-0.15,9.44,0.02,-0.02,0.0,0
27.0,14762.0,0.24,-0.14,9.46,0.02,-0.02,0.0,0
30.0,14770.0,0.2,-0.15,9.44,0.02,-0.02,0.0,0
30.0,14779.0,0.23,-0.15,9.43,0.02,-0.02,0.0,0
31.0,14787.0,0.22,-0.16,9.41,0.02,-0.02,0.0,0
26.0,14795.0,0.23,-0.14,9.42,0.02,-0.02,0.0,0
16.0,14802.0,0.23,-0.16,9.42,0.02,-0.02,0.0,0
11.0,14809.0,0.22,-0.15,9.42,0.02,-0.02,0.0,0
30.0,14817.0,0.2,-0.15,9.42,0.02,-0.02,0.0,0
15.0,14824.0,0.21,-0.15,9.44,0.02,-0.02,0.0,0
30.0,14832.0,0.22,-0.15,9.45,0.02,-0.02,0.0,0
11.0,14839.0,0.23,-0.16,9.46,0.02,-0.02,0.0,0
25.0,14847.0,0.23,-0.14,9.41,0.02,-0.02,0.0,0
15.0,14853.0,0.23,-0.14,9.41,0.02,-0.02,0.0,0
11.0,14859.0,0.24,-0.13,9.41,0.02,-0.02,0.0,0
25.0,14867.0,0.23,-0.15,9.4,0.02,-0.02,0.0,0
15.0,14873.0,0.23,-0.15,9.4,0.02,-0.02,0.0,0
11.0,14879.0,0.25,-0.15,9.41,0.02,-0.02,0.0,0
25.0,14887.0,0.24,-0.13,9.42,0.02,-0.02,0.0,0
15.0,14893.0,0.23,-0.12,9.43,0.02,-0.02,0.0,0
11.0,14899.0,0.23,-0.13,9.42,0.02,-0.02,0.0,0
0.0,14907.0,0.22,-0.15,9.43,0.02,-0.02,0.0,0
15.0,14913.0,0.23,-0.16,9.41,0.02,-0.02,0.0,0
14.0,14920.0,0.23,-0.15,9.42,0.02,-0.02,0.0,0
0.0,14927.0,0.22,-0.16,9.43,0.02,-0.02,0.0,0
15.0,14933.0,0.21,-0.15,9.41,0.02,-0.02,0.0,0
11.0,14939.0,0.22,-0.12,9.45,0.02,-0.02,0.0,0
0.0,14947.0,0.23,-0.16,9.42,0.02,-0.02,0.0,0
15.0,14953.0,0.22,-0.15,9.42,0.02,-0.02,0.0,0
11.0,14959.0,0.23,-0.16,9.42,0.02,-0.02,0.0,0
0.0,14967.0,0.24,-0.16,9.41,0.02,-0.02,0.0,0
15.0,14973.0,0.23,-0.17,9.43,0.02,-0.02,0.0,0
11.0,14979.0,0.23,-0.14,9.41,0.02,-0.02,0.0,0
0.0,14987.0,0.25,-0.14,9.45,0.02,-0.02,0.0,0
15.0,14993.0,0.25,-0.12,9.45,0.02,-0.02,0.0,0
11.0,14999.0,0.25,-0.13,9.44,0.02,-0.02,0.0,0
0.0,15007.0,0.26,-0.14,9.41,0.02,-0.02,0.0,0
15.0,15013.0,0.24,-0.16,9.4,0.02,-0.02,0.0,0
14.0,15020.0,0.22,-0.15,9.4,0.02,-0.02,0.0,0
0.0,15027.0,0.23,-0.13,9.4,0.02,-0.02,0.0,0
15.0,15033.0,0.23,-0.13,9.41,0.02,-0.02,0.0,0
11.0,15039.0,0.23,-0.13,9.42,0.02,-0.02,0.0,0
0.0,15047.0,0.23,-0.13,9.43,0.02,-0.02,0.0,0
15.0,15053.0,0.22,-0.13,9.41,0.02,-0.02,0.0,0
10.0,15059.0,0.22,-0.13,9.43,0.02,-0.02,0.0,0
0.0,15067.0,0.21,-0.15,9.43,0.02,-0.02,0.0,0
15.0,15073.0,0.23,-0.15,9.43,0.02,-0.02,0.0,0
11.0,15079.0,0.22,-0.17,9.41,0.02,-0.02,0.0,0
1.0,15087.0,0.21,-0.15,9.41,0.02,-0.02,0.0,0
15.0,15093.0,0.23,-0.16,9.42,0.02,-0.02,0.0,0
11.0,15099.0,0.23,-0.16,9.4,0.02,-0.02,0.0,0
0.0,15107.0,0.23,-0.14,9.44,0.02,-0.02,-0.0,0
11.0,15114.0,0.24,-0.15,9.43,0.02,-0.02,0.0,0
0.0,15122.0,0.23,-0.16,9.42,0.03,-0.02,0.0,0
15.0,15128.0,0.2,-0.15,9.43,0.03,-0.02,0.0,0
12.0,15135.0,0.22,-0.15,9.41,0.02,-0.02,0.0,0
25.0,15142.0,0.23,-0.14,9.42,0.02,-0.02,0.0,0
36.0,15152.0,0.22,-0.15,9.4,0.02,-0.02,0.0,0
15.0,15158.0,0.23,-0.16,9.42,0.02,-0.02,0.0,0
11.0,15164.0,0.23,-0.15,9.41,0.02,-0.02,0.0,0
25.0,15172.0,0.23,-0.13,9.43,0.02,-0.02,0.0,0
11.0,15179.0,0.22,-0.16,9.4,0.02,-0.02,0.0,0
25.0,15187.0,0.23,-0.17,9.4,0.02,-0.02,0.0,0
15.0,15193.0,0.25,-0.15,9.4,0.02,-0.02,0.0,0
12.0,15200.0,0.22,-0.16,9.4,0.02,-0.02,0.0,0
25.0,15207.0,0.22,-0.14,9.41,0.02,-0.02,0.0,0
15.0,15213.0,0.23,-0.15,9.42,0.02,-0.02,0.0,0
11.0,15219.0,0.21,-0.16,9.43,0.02,-0.02,0.0,0
26.0,15227.0,0.24,-0.15,9.46,0.02,-0.02,0.0,0
15.0,15233.0,0.24,-0.15,9.42,0.02,-0.02,0.0,0
11.0,15239.0,0.22,-0.16,9.41,0.02,-0.02,0.0,0
24.0,15247.0,0.22,-0.17,9.44,0.02,-0.02,0.0,0
15.0,15253.0,0.23,-0.16,9.42,0.02,-0.02,0.0,0
11.0,15259.0,0.22,-0.16,9.39,0.02,-0.02,0.0,0
25.0,15267.0,0.22,-0.15,9.4,0.02,-0.02,0.0,0
