DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
556219,42,556224,0.01,-0.29,9.40,0.02,-0.02,-0.01,0
556238,42,556243,0.01,-0.31,9.42,0.02,-0.02,-0.01,0
556257,42,556262,0.03,-0.30,9.39,0.02,-0.02,-0.01,0
556276,42,556281,-0.02,-0.31,9.42,0.02,-0.02,-0.01,0
556295,42,556300,-0.01,-0.34,9.44,0.02,-0.02,-0.01,0
556314,42,556319,0.01,-0.31,9.41,0.02,-0.02,-0.01,0
556333,42,556338,0.02,-0.30,9.40,0.02,-0.02,-0.01,0
556352,42,556357,0.00,-0.33,9.43,0.02,-0.02,-0.01,0
556371,42,556376,-0.02,-0.32,9.41,0.02,-0.02,-0.01,0
556390,42,556395,0.00,-0.30,9.39,0.02,-0.02,-0.01,0
556409,42,556414,0.01,-0.29,9.40,0.02,-0.02,-0.01,0
556428,42,556433,0.01,-0.32,9.39,0.02,-0.02,-0.01,0
556447,42,556452,0.01,-0.30,9.39,0.02,-0.02,-0.01,0
556466,42,556471,0.03,-0.31,9.41,0.02,-0.02,-0.01,0
556485,42,556490,0.02,-0.29,9.40,0.02,-0.02,-0.01,0
556504,42,556509,0.01,-0.31,9.43,0.02,-0.02,-0.01,0
556523,42,556528,0.00,-0.30,9.43,0.02,-0.02,-0.01,0
556542,42,556547,0.04,-0.29,9.41,0.02,-0.02,-0.01,0
556561,42,556566,0.02,-0.31,9.41,0.02,-0.02,-0.01,0
556580,42,556585,0.01,-0.32,9.42,0.02,-0.02,-0.01,0
556599,42,556604,0.00,-0.29,9.40,0.02,-0.02,-0.01,0
556618,42,556623,0.00,-0.30,9.41,0.02,-0.02,-0.01,0
556637,42,556642,0.01,-0.31,9.40,0.02,-0.02,-0.01,0
556656,42,556661,-0.01,-0.31,9.43,0.02,-0.02,-0.01,0
556675,42,556680,0.02,-0.31,9.42,0.02,-0.02,-0.01,0
556694,42,556699,-0.01,-0.31,9.40,0.02,-0.02,-0.01,0
556713,42,556718,0.00,-0.31,9.43,0.02,-0.02,-0.01,0
556732,42,556737,0.00,-0.30,9.39,0.02,-0.02,-0.01,0
556751,42,556756,0.00,-0.29,9.42,0.02,-0.02,-0.01,0
556770,42,556775,0.02,-0.32,9.41,0.02,-0.02,-0.01,0
556788,42,556793,0.00,-0.33,9.43,0.02,-0.02,-0.01,0
556807,42,556812,0.00,-0.31,9.42,0.02,-0.02,-0.01,0
556826,42,556831,0.03,-0.30,9.38,0.02,-0.02,-0.01,0
556845,42,556850,0.02,-0.29,9.38,0.02,-0.02,-0.01,0
556864,42,556869,0.01,-0.31,9.41,0.02,-0.02,-0.01,0
556883,42,556888,-0.01,-0.33,9.42,0.02,-0.02,-0.01,0
556902,42,556907,-0.00,-0.31,9.42,0.02,-0.02,-0.01,0
556921,42,556926,0.01,-0.30,9.39,0.02,-0.02,-0.01,0
556940,42,556945,0.02,-0.32,9.41,0.02,-0.02,-0.01,0
556959,42,556964,-0.00,-0.32,9.40,0.02,-0.02,-0.01,0
556978,42,556983,0.01,-0.30,9.44,0.03,-0.02,-0.01,0
556997,42,557002,0.00,-0.33,9.42,0.02,-0.02,-0.01,0
557016,42,557020,0.01,-0.32,9.39,0.02,-0.02,-0.01,0
557034,42,557039,0.01,-0.31,9.39,0.02,-0.02,-0.01,0
557053,42,557058,-0.01,-0.31,9.41,0.02,-0.02,-0.01,0
557072,42,557077,0.01,-0.32,9.42,0.02,-0.02,-0.01,0
557091,42,557096,0.00,-0.32,9.43,0.03,-0.02,-0.01,0
557110,42,557115,0.01,-0.29,9.39,0.03,-0.02,-0.01,0
557129,42,557134,0.01,-0.31,9.43,0.02,-0.02,-0.01,0
557148,42,557153,0.02,-0.31,9.42,0.02,-0.02,-0.01,0
557167,42,557172,0.02,-0.32,9.42,0.02,-0.02,-0.01,0
557186,42,557191,0.00,-0.32,9.41,0.02,-0.02,-0.01,0
557205,42,557210,0.02,-0.32,9.42,0.02,-0.02,-0.01,0
557224,42,557229,0.01,-0.30,9.40,0.02,-0.02,-0.01,0
557243,42,557248,0.02,-0.30,9.39,0.02,-0.02,-0.01,0
557262,42,557267,0.00,-0.31,9.42,0.02,-0.02,-0.01,0
557281,42,557286,0.00,-0.29,9.41,0.02,-0.02,-0.01,0
557300,42,557305,0.03,-0.32,9.44,0.02,-0.02,-0.01,0
557319,42,557324,-0.00,-0.31,9.42,0.02,-0.02,-0.01,0
557338,42,557343,0.00,-0.30,9.42,0.02,-0.02,-0.01,0
557357,42,557362,-0.00,-0.31,9.41,0.02,-0.02,-0.01,0
557376,42,557381,0.01,-0.31,9.40,0.02,-0.02,-0.01,0
557395,42,557400,0.00,-0.31,9.44,0.02,-0.02,-0.01,0
557414,42,557419,0.01,-0.32,9.39,0.02,-0.02,-0.01,0
557433,42,557438,0.02,-0.31,9.38,0.02,-0.02,-0.01,0
557452,42,557457,-0.00,-0.32,9.41,0.02,-0.02,-0.01,0
557471,42,557476,0.00,-0.31,9.41,0.02,-0.02,-0.01,0
557490,42,557495,-0.01,-0.32,9.45,0.02,-0.02,-0.01,0
557509,42,557514,0.00,-0.31,9.37,0.02,-0.02,-0.01,0
557528,42,557533,0.02,-0.31,9.40,0.02,-0.02,-0.01,0
557547,42,557552,0.03,-0.30,9.42,0.02,-0.02,-0.01,0
557566,42,557571,-0.00,-0.31,9.38,0.02,-0.02,-0.01,0
557585,42,557590,-0.00,-0.32,9.44,0.02,-0.02,-0.01,0
557604,42,557609,-0.01,-0.31,9.41,0.02,-0.02,-0.01,0
557623,42,557628,0.02,-0.30,9.39,0.02,-0.02,-0.01,0
557642,42,557647,0.01,-0.34,9.39,0.02,-0.02,-0.01,0
557661,42,557666,0.00,-0.31,9.40,0.02,-0.02,-0.01,0
557680,42,557685,0.02,-0.30,9.42,0.02,-0.02,-0.01,0
557699,42,557704,0.01,-0.32,9.41,0.02,-0.02,-0.01,0
557718,42,557723,0.03,-0.32,9.43,0.02,-0.02,-0.01,0
557737,42,557742,-0.04,-0.31,9.41,0.02,-0.02,-0.01,0
