DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
891144.0,347.0,891147.0,-0.21,0.43,9.4,0.04,0.02,-0.94,0
891153.0,347.0,891156.0,-0.36,0.34,9.46,0.04,0.05,-0.79,0
891162.0,433.0,891165.0,-0.55,0.24,9.42,0.05,0.11,-0.56,0
891171.0,381.0,891174.0,-0.84,0.14,9.23,0.04,0.09,-0.34,0
891180.0,416.0,891183.0,-0.75,-0.46,9.24,0.03,-0.04,-0.13,0
891189.0,450.0,891192.0,-0.53,-0.79,9.41,0.02,-0.1,0.08,0
891198.0,399.0,891201.0,-0.4,-1.09,9.37,0.01,-0.14,0.25,0
891207.0,382.0,891210.0,0.15,-1.21,9.61,0.02,-0.09,0.41,0
891216.0,467.0,891219.0,0.33,-1.07,9.47,0.02,-0.06,0.52,0
891225.0,467.0,891228.0,0.69,-0.67,9.48,0.02,-0.05,0.57,0
891234.0,399.0,891237.0,1.12,-0.34,9.39,0.01,-0.06,0.56,0
891243.0,399.0,891246.0,2.18,-0.15,9.42,0.01,-0.05,0.46,0
891252.0,485.0,891255.0,1.99,-0.05,9.43,0.01,-0.03,0.31,0
891261.0,484.0,891264.0,1.5,-0.09,9.45,0.02,-0.01,0.2,0
891270.0,484.0,891273.0,0.56,-0.14,9.4,0.02,-0.02,0.12,0
891279.0,484.0,891282.0,0.42,-0.16,9.4,0.02,-0.02,0.09,0
891288.0,485.0,891291.0,0.32,-0.18,9.4,0.03,-0.02,0.07,0
891297.0,484.0,891300.0,0.22,-0.17,9.44,0.03,-0.01,0.06,0
891306.0,484.0,891309.0,0.16,-0.18,9.37,0.03,-0.01,0.07,0
891315.0,485.0,891318.0,0.16,-0.18,9.45,0.03,-0.01,0.09,0
891324.0,484.0,891327.0,0.17,-0.19,9.45,0.02,-0.02,0.12,0
891335.0,485.0,891338.0,0.26,-0.24,9.44,0.02,-0.02,0.14,0
891344.0,484.0,891347.0,0.27,-0.24,9.44,0.02,-0.02,0.14,0
891353.0,485.0,891356.0,0.25,-0.19,9.42,0.02,-0.02,0.14,0
891361.0,484.0,891364.0,0.23,-0.15,9.41,0.02,-0.03,0.14,0
891370.0,485.0,891373.0,0.25,-0.15,9.4,0.02,-0.02,0.15,0
891379.0,485.0,891382.0,0.26,-0.13,9.41,0.02,-0.02,0.14,0
891388.0,484.0,891391.0,0.26,-0.12,9.42,0.02,-0.02,0.13,0
891397.0,485.0,891400.0,0.26,-0.15,9.46,0.02,-0.02,0.12,0
891406.0,484.0,891409.0,0.24,-0.13,9.44,0.02,-0.02,0.11,0
