DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
298077,30,298081,0.17,-0.25,9.44,0.03,-0.02,-0.00,0
298091,30,298095,0.18,-0.23,9.45,0.02,-0.02,-0.00,0
298105,30,298109,0.19,-0.25,9.44,0.03,-0.02,0.00,0
298119,30,298123,0.21,-0.24,9.43,0.02,-0.02,0.00,0
298133,30,298137,0.19,-0.23,9.43,0.02,-0.02,-0.00,0
298147,30,298151,0.19,-0.20,9.41,0.03,-0.02,-0.00,0
298161,30,298165,0.19,-0.22,9.45,0.02,-0.02,0.00,0
298175,30,298179,0.19,-0.22,9.43,0.03,-0.02,-0.00,0
298189,30,298193,0.18,-0.24,9.45,0.03,-0.02,-0.00,0
298203,30,298207,0.19,-0.22,9.42,0.02,-0.02,-0.00,0
298217,33,298221,0.20,-0.22,9.45,0.02,-0.02,-0.00,0
298231,30,298235,0.17,-0.23,9.44,0.02,-0.02,-0.00,0
298245,28,298249,0.21,-0.23,9.42,0.02,-0.02,-0.00,0
298259,30,298263,0.16,-0.21,9.42,0.03,-0.02,-0.00,0
298273,30,298277,0.20,-0.22,9.39,0.02,-0.02,-0.00,0
298287,30,298291,0.16,-0.25,9.43,0.02,-0.02,-0.00,0
298301,30,298305,0.19,-0.24,9.46,0.02,-0.02,-0.00,0
298315,30,298319,0.17,-0.24,9.44,0.03,-0.02,-0.00,0
298329,30,298333,0.19,-0.23,9.43,0.02,-0.02,-0.00,0
298343,30,298347,0.18,-0.22,9.44,0.02,-0.02,0.00,0
298357,30,298361,0.18,-0.22,9.44,0.02,-0.02,-0.00,0
298371,30,298375,0.17,-0.22,9.41,0.02,-0.02,-0.00,0
298385,30,298389,0.20,-0.19,9.45,0.02,-0.02,-0.00,0
298399,30,298403,0.18,-0.23,9.43,0.03,-0.02,-0.00,0
298412,30,298416,0.19,-0.18,9.43,0.03,-0.02,-0.00,0
298426,30,298430,0.19,-0.22,9.45,0.03,-0.02,-0.00,0
298439,72,298445,0.19,-0.23,9.46,0.02,-0.02,-0.00,0
298467,3,298471,0.21,-0.23,9.43,0.02,-0.02,-0.00,0
298499,35,298503,0.17,-0.25,9.45,0.03,-0.02,-0.00,0
298512,27,298516,0.18,-0.24,9.43,0.02,-0.02,-0.00,0
298529,27,298533,0.19,-0.22,9.44,0.02,-0.02,-0.00,0
298546,21,298550,0.20,-0.23,9.45,0.02,-0.02,-0.00,0
298564,30,298568,0.18,-0.21,9.43,0.02,-0.02,-0.00,0
298591,37,298596,0.18,-0.22,9.44,0.02,-0.02,-0.00,0
298608,28,298612,0.19,-0.21,9.45,0.02,-0.02,-0.00,0
298622,29,298626,0.17,-0.23,9.44,0.02,-0.02,-0.00,0
298636,32,298640,0.19,-0.23,9.44,0.02,-0.02,-0.00,0
298649,32,298654,0.18,-0.22,9.42,0.02,-0.02,-0.00,0
298663,34,298668,0.21,-0.23,9.44,0.02,-0.02,-0.00,0
298677,29,298681,0.21,-0.23,9.45,0.02,-0.02,-0.00,0
298691,32,298695,0.19,-0.23,9.43,0.02,-0.02,0.00,0
298704,32,298709,0.16,-0.25,9.42,0.03,-0.02,-0.00,0
298718,28,298721,0.17,-0.22,9.45,0.02,-0.02,-0.00,0
298731,32,298735,0.16,-0.21,9.40,0.03,-0.02,-0.00,0
298744,32,298749,0.17,-0.23,9.42,0.02,-0.02,-0.00,0
298758,28,298762,0.16,-0.24,9.46,0.02,-0.02,-0.00,0
