DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
132961,10,132964,-9.61,-0.28,-0.89,0.03,-0.02,-0.01,0
132974,10,132977,-9.55,-0.24,-0.95,0.04,-0.02,-0.01,0
132987,10,132990,-9.53,-0.20,-0.96,0.04,-0.03,-0.01,0
133000,10,133003,-9.46,-0.24,-0.94,0.05,-0.02,-0.01,0
133013,10,133016,-9.47,-0.22,-0.86,0.04,-0.02,-0.01,0
133026,10,133029,-9.48,-0.22,-0.90,0.04,-0.02,-0.01,0
133039,10,133042,-9.51,-0.26,-0.84,0.04,-0.02,-0.01,0
133052,10,133055,-9.57,-0.29,-0.97,0.03,-0.01,-0.00,0
133065,10,133068,-9.59,-0.31,-0.91,0.02,-0.02,-0.01,0
133078,10,133081,-9.58,-0.30,-0.96,0.01,-0.01,-0.01,0
133091,10,133094,-9.57,-0.33,-0.98,0.00,-0.02,-0.02,0
133104,10,133107,-9.56,-0.34,-0.88,-0.01,-0.02,-0.03,0
133117,10,133120,-9.52,-0.30,-0.85,-0.01,-0.02,-0.03,0
133130,5,133133,-9.53,-0.28,-0.86,-0.00,-0.00,-0.04,0
133144,7,133147,-9.56,-0.23,-0.96,0.01,0.00,-0.04,0
133185,0,134185,-9.58,-0.22,-0.93,0.03,-0.02,0.00,0
134196,13,134199,-9.56,-0.25,-0.96,0.01,-0.03,0.01,0
134208,14,134211,-9.52,-0.23,-0.88,0.01,-0.04,0.02,0
134221,14,134224,-9.49,-0.18,-0.89,0.02,-0.02,0.02,0
134233,14,134236,-9.51,-0.20,-0.86,0.04,-0.01,0.02,0
134246,14,134249,-9.51,-0.22,-0.95,0.04,-0.01,0.01,0
134258,14,134261,-9.55,-0.25,-0.98,0.04,-0.02,0.01,0
134271,14,134274,-9.58,-0.30,-0.95,0.04,-0.02,0.01,0
134283,14,134286,-9.57,-0.26,-0.92,0.04,-0.02,0.01,0
134296,14,134299,-9.58,-0.24,-0.89,0.03,-0.02,0.01,0
134308,14,134311,-9.58,-0.22,-0.92,0.02,-0.01,0.01,0
134321,14,134324,-9.55,-0.21,-0.96,0.02,-0.02,0.01,0
134333,14,134336,-9.51,-0.21,-0.91,0.01,-0.01,0.00,0
134346,14,134349,-9.54,-0.22,-0.90,0.01,-0.01,-0.01,0
134358,14,134361,-9.55,-0.21,-0.98,0.01,-0.02,-0.01,0
134371,14,134374,-9.55,-0.20,-0.96,0.02,-0.02,-0.01,0
134383,14,134386,-9.58,-0.24,-0.93,0.03,-0.02,-0.01,0
134396,14,134399,-9.64,-0.25,-0.93,0.03,-0.02,-0.02,0
134408,14,134411,-9.63,-0.22,-0.95,0.03,-0.02,-0.01,0
134421,14,134424,-9.59,-0.17,-0.95,0.02,-0.02,0.00,0
134433,0,135433,-9.58,-0.30,-0.96,0.05,-0.02,0.00,0
135442,10,135445,-9.63,-0.30,-0.96,0.05,-0.02,-0.01,0
