DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
61209.0,10.0,61212.0,-8.71,-1.01,2.71,0.71,0.82,0.39,0
61219.0,11.0,61222.0,-8.32,-1.12,2.59,0.69,0.85,0.4,0
61229.0,10.0,61232.0,-8.31,-1.08,2.44,0.64,0.91,0.36,0
61239.0,10.0,61242.0,-8.52,-0.93,2.17,0.57,1.01,0.31,0
61248.0,17.0,61251.0,-9.12,-1.49,1.43,0.5,1.07,0.29,0
61258.0,17.0,61261.0,-9.79,-1.97,0.67,0.31,0.92,0.44,0
61268.0,17.0,61271.0,-8.97,-0.12,0.57,0.04,1.37,0.67,0
61278.0,17.0,61281.0,-7.76,-0.14,0.73,-0.17,1.37,0.67,0
61288.0,17.0,61291.0,-6.57,-0.3,1.15,-0.33,1.09,0.52,0
61297.0,9.0,61300.0,-6.34,0.28,1.29,-0.38,1.2,0.31,0
61308.0,17.0,61311.0,-6.28,0.39,1.58,-0.3,0.99,0.14,0
61318.0,17.0,61321.0,-6.84,0.36,1.8,-0.27,0.83,-0.05,0
61328.0,17.0,61331.0,-7.73,0.0,1.92,-0.21,0.69,-0.2,0
61338.0,17.0,61341.0,-8.64,-0.51,1.93,-0.13,0.79,-0.22,0
61347.0,16.0,61350.0,-9.26,-0.6,1.79,-0.08,0.86,-0.17,0
61356.0,26.0,61360.0,-9.36,-0.52,1.68,-0.02,0.84,-0.09,0
61366.0,16.0,61369.0,-8.8,-0.16,1.31,0.05,0.76,0.0,0
61374.0,10.0,61377.0,-7.64,0.55,1.32,0.09,0.46,0.11,0
61383.0,17.0,61386.0,-7.56,0.14,1.46,-0.04,0.53,-0.02,0
61393.0,17.0,61396.0,-7.76,-0.97,1.61,-0.13,0.79,-0.25,0
61402.0,16.0,61405.0,-8.18,-1.19,1.64,-0.1,1.14,-0.36,0
61411.0,15.0,61414.0,-8.38,-1.05,1.67,-0.01,1.33,-0.43,0
61419.0,17.0,61422.0,-8.38,-1.03,1.63,0.11,1.43,-0.47,0
61428.0,16.0,61431.0,-8.36,-0.99,1.45,0.29,1.5,-0.52,0
61437.0,16.0,61440.0,-8.53,-0.97,1.18,0.46,1.48,-0.57,0
61446.0,26.0,61450.0,-9.04,-1.23,0.91,0.6,1.49,-0.6,0
61456.0,26.0,61460.0,-9.68,-1.33,0.48,0.69,1.51,-0.58,0
61465.0,21.0,61469.0,-10.03,-1.31,0.1,0.72,1.43,-0.52,0
61474.0,9.0,61477.0,-10.04,-1.27,-0.33,0.72,1.33,-0.44,0
61483.0,16.0,61486.0,-9.76,-1.12,-0.64,0.68,1.25,-0.35,0
61492.0,16.0,61495.0,-9.4,-0.85,-0.94,0.63,1.2,-0.3,0
61501.0,13.0,61504.0,-9.23,-0.83,-1.23,0.54,1.16,-0.3,0
61509.0,9.0,61512.0,-9.3,-0.82,-1.39,0.42,1.05,-0.32,0
61517.0,16.0,61520.0,-9.67,-0.84,-1.44,0.28,0.87,-0.35,0
61526.0,14.0,61529.0,-10.14,-1.15,-1.36,0.12,0.71,-0.35,0
61537.0,30.0,61541.0,-10.61,-1.69,-1.13,-0.06,0.64,-0.29,0
61547.0,30.0,61551.0,-10.78,-1.78,-0.76,-0.19,0.74,-0.22,0
61557.0,30.0,61561.0,-11.07,-1.72,-0.34,-0.31,0.92,-0.15,0
61567.0,30.0,61571.0,-11.39,-1.77,0.11,-0.34,1.05,-0.06,0
61577.0,30.0,61581.0,-11.4,-1.79,0.44,-0.25,1.02,0.08,0
61587.0,30.0,61591.0,-11.09,-1.68,0.45,-0.06,0.83,0.23,0
61597.0,30.0,61601.0,-10.55,-1.53,0.17,0.16,0.52,0.35,0
61607.0,30.0,61611.0,-9.87,-1.37,-0.31,0.36,0.24,0.42,0
61617.0,30.0,61621.0,-9.68,-1.34,-0.83,0.43,0.1,0.42,0
61627.0,30.0,61631.0,-9.94,-1.38,-1.18,0.38,0.17,0.39,0
61637.0,30.0,61641.0,-10.41,-1.37,-1.39,0.26,0.36,0.4,0
61647.0,30.0,61651.0,-10.75,-1.34,-1.33,0.15,0.54,0.44,0
61657.0,30.0,61661.0,-10.63,-1.3,-1.2,0.12,0.64,0.52,0
61667.0,30.0,61671.0,-9.87,-1.08,-1.18,0.16,0.66,0.59,0
61677.0,30.0,61681.0,-9.02,-0.81,-1.34,0.24,0.62,0.59,0
61687.0,30.0,61691.0,-8.37,-0.72,-1.62,0.31,0.55,0.52,0
61697.0,30.0,61701.0,-8.56,-0.77,-2.0,0.3,0.51,0.37,0
61707.0,30.0,61711.0,-9.25,-0.85,-2.26,0.22,0.56,0.26,0
61717.0,30.0,61721.0,-9.83,-0.84,-2.32,0.13,0.57,0.22,0
61727.0,30.0,61731.0,-10.06,-0.75,-2.21,0.05,0.5,0.22,0
61737.0,30.0,61741.0,-10.07,-0.81,-1.96,-0.0,0.39,0.21,0
61747.0,30.0,61751.0,-10.05,-0.93,-1.68,-0.0,0.34,0.21,0
61757.0,30.0,61761.0,-9.96,-0.92,-1.52,0.03,0.3,0.2,0
61767.0,14.0,61770.0,-9.94,-1.0,-1.42,0.06,0.27,0.18,0
61776.0,14.0,61779.0,-9.98,-1.28,-1.45,0.12,0.34,0.16,0
61785.0,13.0,61788.0,-10.12,-1.35,-1.62,0.18,0.45,0.14,0
61793.0,15.0,61796.0,-10.37,-1.29,-1.8,0.2,0.49,0.13,0
61802.0,0.0,61902.0,-8.28,0.07,-2.21,-0.27,0.14,-0.13,0
61920.0,0.0,62020.0,-9.41,-0.17,-2.02,-0.2,-0.23,0.14,0
62027.0,21.0,62031.0,-9.04,-0.15,-1.7,-0.16,-0.27,0.16,0
62037.0,16.0,62040.0,-8.86,-0.09,-1.54,-0.11,-0.28,0.14,0
62046.0,15.0,62050.0,-8.95,-0.12,-1.49,-0.06,-0.22,0.11,0
62054.0,15.0,62057.0,-9.1,-0.06,-1.57,-0.03,-0.16,0.09,0
62063.0,21.0,62066.0,-9.24,0.09,-1.74,0.02,-0.13,0.09,0
62071.0,28.0,62075.0,-9.23,0.21,-1.92,0.06,-0.14,0.1,0
62081.0,30.0,62085.0,-8.93,0.38,-2.13,0.09,-0.18,0.11,0
62090.0,16.0,62093.0,-8.55,0.55,-2.28,0.1,-0.25,0.1,0
62099.0,30.0,62103.0,-8.24,0.64,-2.37,0.07,-0.29,0.06,0
62110.0,1.0,62113.0,-8.16,0.34,-2.39,-0.0,-0.2,-0.05,0
62119.0,10.0,62122.0,-8.39,0.14,-2.38,-0.07,-0.05,-0.15,0
62128.0,8.0,62131.0,-8.78,0.16,-2.3,-0.13,0.04,-0.21,0
62135.0,0.0,62235.0,-9.63,-0.1,-2.82,-0.06,-0.36,0.4,0
62240.0,10.0,62244.0,-9.63,0.08,-2.83,-0.13,-0.29,0.38,0
62250.0,13.0,62253.0,-9.66,0.37,-2.71,-0.25,-0.28,0.37,0
62258.0,15.0,62261.0,-9.5,0.49,-2.55,-0.32,-0.32,0.39,0
62266.0,21.0,62270.0,-9.15,0.57,-2.35,-0.37,-0.37,0.41,0
62275.0,13.0,62278.0,-8.71,0.66,-2.09,-0.4,-0.44,0.4,0
62283.0,15.0,62286.0,-8.37,0.58,-1.83,-0.42,-0.5,0.36,0
62291.0,21.0,62295.0,-8.31,0.4,-1.58,-0.46,-0.5,0.28,0
62300.0,13.0,62303.0,-8.61,0.16,-1.26,-0.51,-0.37,0.16,0
62308.0,15.0,62311.0,-8.94,0.07,-0.99,-0.53,-0.21,0.08,0
62316.0,21.0,62320.0,-9.3,0.22,-0.69,-0.51,-0.11,0.04,0
62325.0,13.0,62328.0,-9.45,0.25,-0.45,-0.46,-0.11,0.03,0
62333.0,15.0,62336.0,-9.47,0.16,-0.26,-0.36,-0.15,0.05,0
62341.0,15.0,62344.0,-9.47,0.07,-0.25,-0.24,-0.22,0.07,0
62349.0,21.0,62352.0,-9.5,0.01,-0.36,-0.12,-0.29,0.08,0
62357.0,10.0,62360.0,-9.62,-0.02,-0.6,-0.02,-0.4,0.1,0
62365.0,10.0,62369.0,-9.73,-0.05,-0.88,0.06,-0.52,0.13,0
62374.0,21.0,62377.0,-9.67,-0.01,-1.24,0.11,-0.65,0.18,0
62382.0,10.0,62385.0,-9.5,0.06,-1.43,0.09,-0.74,0.22,0
62390.0,3.0,62393.0,-9.4,0.05,-1.53,0.01,-0.77,0.22,0
62399.0,21.0,62402.0,-9.41,-0.02,-1.48,-0.11,-0.7,0.19,0
62407.0,10.0,62410.0,-9.5,-0.05,-1.28,-0.23,-0.56,0.15,0
62415.0,15.0,62418.0,-9.6,0.1,-1.04,-0.33,-0.46,0.12,0
62424.0,30.0,62428.0,-9.65,0.37,-0.68,-0.4,-0.49,0.12,0
62434.0,0.0,62438.0,-9.42,0.41,-0.32,-0.4,-0.58,0.14,1
62458.0,35.0,62462.0,-8.92,0.02,0.15,-0.26,-0.27,0.04,1
62468.0,30.0,62472.0,-9.11,-0.03,0.06,-0.16,-0.1,-0.04,1
62558.0,9.0,62562.0,-9.52,0.19,-0.18,0.27,-0.4,-0.01,1
62835.0,10.0,62839.0,-9.77,0.11,-0.71,0.23,-0.03,-0.06,1
