DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
24952,14,24955,-0.28,-0.02,3.50,0.02,-0.02,-0.00,0
24960,12,24963,-0.59,-0.02,7.40,0.02,-0.02,-0.00,0
24967,12,24970,-0.68,-0.02,8.65,0.02,-0.02,-0.00,0
24975,12,24978,-0.73,-0.04,9.15,0.02,-0.02,-0.00,0
24982,12,24985,-0.74,-0.05,9.33,0.02,-0.02,-0.00,0
24990,12,24993,-0.78,-0.04,9.40,0.02,-0.02,-0.00,0
24997,12,25000,-0.77,-0.04,9.40,0.02,-0.02,-0.00,0
25005,14,25008,-0.77,-0.05,9.43,0.02,-0.02,-0.00,0
25013,15,25016,-0.76,-0.04,9.45,0.02,-0.02,0.00,0
25020,14,25023,-0.76,-0.04,9.42,0.02,-0.02,-0.00,0
25028,11,25031,-0.74,-0.04,9.42,0.02,-0.02,-0.00,0
25035,19,25039,-0.76,-0.03,9.43,0.02,-0.02,0.00,0
25043,11,25046,-0.77,-0.04,9.42,0.02,-0.02,0.00,0
25050,13,25053,-0.76,-0.05,9.43,0.02,-0.02,-0.00,0
25058,11,25061,-0.76,-0.04,9.43,0.02,-0.02,-0.00,0
25065,19,25069,-0.75,-0.05,9.44,0.02,-0.02,-0.00,0
25073,11,25076,-0.74,-0.05,9.44,0.02,-0.02,-0.00,0
25080,13,25083,-0.74,-0.05,9.40,0.02,-0.02,0.00,0
25088,11,25091,-0.72,-0.04,9.42,0.02,-0.02,0.00,0
25095,19,25099,-0.74,-0.05,9.47,0.02,-0.02,-0.00,0
25103,17,25106,-0.75,-0.05,9.43,0.02,-0.02,-0.00,0
25112,12,25115,-0.75,-0.05,9.44,0.02,-0.02,0.00,0
25123,12,25126,-0.75,-0.06,9.42,0.02,-0.02,0.00,0
25132,12,25135,-0.71,-0.04,9.40,0.02,-0.02,-0.00,0
25142,14,25145,-0.72,-0.05,9.40,0.02,-0.02,0.00,0
25150,12,25153,-0.73,-0.04,9.43,0.02,-0.02,0.00,0
25159,12,25162,-0.74,-0.04,9.44,0.02,-0.02,0.00,0
25168,12,25171,-0.75,-0.03,9.42,0.02,-0.02,0.00,0
25177,12,25180,-0.74,-0.03,9.43,0.02,-0.02,0.00,0
25185,19,25189,-0.73,-0.04,9.43,0.02,-0.02,-0.00,0
25193,11,25196,-0.75,-0.05,9.47,0.02,-0.02,-0.00,0
25200,19,25204,-0.75,-0.05,9.46,0.02,-0.02,-0.00,0
25208,11,25211,-0.75,-0.05,9.44,0.02,-0.02,0.00,0
25215,19,25219,-0.77,-0.04,9.41,0.02,-0.02,0.00,0
25223,14,25226,-0.76,-0.04,9.45,0.02,-0.02,0.00,0
25230,19,25234,-0.76,-0.04,9.45,0.02,-0.02,0.00,0
25238,11,25241,-0.76,-0.04,9.44,0.02,-0.02,0.00,0
25245,19,25249,-0.73,-0.03,9.45,0.02,-0.02,-0.00,0
25253,11,25256,-0.74,-0.04,9.46,0.02,-0.02,-0.00,0
25260,19,25264,-0.74,-0.04,9.44,0.02,-0.02,-0.00,0
25268,11,25271,-0.73,-0.04,9.41,0.02,-0.02,0.00,0
25275,13,25279,-0.74,-0.04,9.44,0.02,-0.02,-0.00,0
25283,11,25286,-0.74,-0.04,9.44,0.02,-0.02,-0.00,0
25290,13,25294,-0.76,-0.04,9.41,0.02,-0.02,-0.00,0
25298,11,25301,-0.76,-0.05,9.44,0.02,-0.02,-0.00,0
25305,13,25309,-0.74,-0.03,9.42,0.02,-0.02,0.00,0
25313,11,25316,-0.76,-0.04,9.44,0.02,-0.02,0.00,0
25320,13,25323,-0.74,-0.04,9.45,0.02,-0.02,0.00,0
25328,11,25331,-0.74,-0.04,9.44,0.02,-0.02,0.00,0
25335,13,25339,-0.75,-0.04,9.43,0.02,-0.02,0.00,0
25343,11,25346,-0.75,-0.06,9.44,0.02,-0.02,0.00,0
25350,13,25354,-0.76,-0.05,9.44,0.02,-0.02,0.00,0
25358,11,25361,-0.75,-0.05,9.42,0.02,-0.02,-0.00,0
25365,13,25369,-0.75,-0.06,9.45,0.02,-0.02,0.00,0
25373,11,25376,-0.73,-0.06,9.47,0.02,-0.02,-0.00,0
25381,11,25384,-0.74,-0.06,9.44,0.02,-0.02,0.00,0
25388,7,25391,-0.75,-0.06,9.41,0.02,-0.02,0.00,0
25395,13,25398,-0.77,-0.05,9.43,0.02,-0.02,-0.00,0
25403,11,25406,-0.75,-0.06,9.44,0.02,-0.02,0.00,0
25411,11,25414,-0.74,-0.05,9.43,0.02,-0.02,-0.00,0
25418,7,25421,-0.75,-0.05,9.40,0.02,-0.02,0.00,0
25425,13,25428,-0.75,-0.04,9.41,0.02,-0.02,-0.00,0
25433,11,25436,-0.76,-0.05,9.39,0.02,-0.02,-0.00,0
25441,11,25444,-0.76,-0.05,9.41,0.02,-0.02,-0.00,0
25449,12,25452,-0.75,-0.05,9.42,0.02,-0.02,0.00,0
25456,11,25459,-0.76,-0.06,9.40,0.02,-0.02,-0.00,0
25463,7,25466,-0.75,-0.04,9.42,0.02,-0.02,-0.00,0
25471,13,25474,-0.75,-0.03,9.42,0.02,-0.02,-0.00,0
25478,7,25481,-0.73,-0.04,9.42,0.02,-0.02,0.00,0
25486,11,25489,-0.74,-0.03,9.43,0.02,-0.02,0.00,0
25494,9,25497,-0.72,-0.04,9.41,0.02,-0.02,-0.00,0
25502,11,25505,-0.74,-0.03,9.42,0.02,-0.02,-0.00,0
25510,19,25514,-0.74,-0.03,9.44,0.02,-0.02,-0.00,0
25518,14,25521,-0.75,-0.05,9.41,0.02,-0.02,-0.00,0
25526,12,25529,-0.75,-0.05,9.43,0.02,-0.02,0.00,0
25533,8,25536,-0.74,-0.05,9.43,0.02,-0.02,0.00,0
25541,12,25544,-0.74,-0.05,9.44,0.02,-0.02,0.00,0
25548,8,25551,-0.77,-0.06,9.41,0.02,-0.02,0.00,0
25556,12,25559,-0.76,-0.06,9.41,0.02,-0.02,-0.00,0
25563,8,25566,-0.75,-0.06,9.43,0.02,-0.02,-0.00,0
25572,16,25575,-0.75,-0.05,9.44,0.02,-0.02,0.00,0
25580,19,25584,-0.74,-0.05,9.42,0.02,-0.02,0.00,0
25588,12,25591,-0.77,-0.05,9.42,0.02,-0.02,-0.00,0
25595,14,25599,-0.78,-0.04,9.44,0.02,-0.02,-0.00,0
25603,12,25606,-0.77,-0.05,9.42,0.02,-0.02,0.00,0
25610,19,25614,-0.75,-0.04,9.43,0.02,-0.02,-0.00,0
