GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
80244,0.80,-0.12,9.34,0.02,-0.01,0.00,1
80254,0.77,-0.12,9.35,0.01,-0.02,-0.00,1
80423,0.81,-0.07,9.23,0.00,-0.04,-0.02,1
80557,0.86,-0.06,9.23,0.01,-0.04,0.00,1
80568,0.78,-0.05,9.33,-0.00,-0.03,0.00,1
80576,0.77,-0.02,9.39,-0.00,-0.04,0.00,1
80585,0.78,0.02,9.48,0.00,-0.04,-0.00,1
80594,0.82,-0.00,9.52,0.01,-0.04,-0.01,1
80604,0.90,-0.09,9.43,0.02,-0.04,-0.01,1
80613,0.89,-0.09,9.36,0.03,-0.03,-0.01,1
80622,0.85,-0.10,9.34,0.03,-0.02,-0.01,1
80630,0.81,-0.13,9.36,0.02,-0.02,-0.01,1
80639,0.83,-0.12,9.40,0.02,-0.03,-0.00,1
80648,0.85,-0.11,9.46,0.01,-0.04,-0.00,1
80656,0.83,-0.10,9.50,0.01,-0.05,-0.00,1
80665,0.77,-0.09,9.52,0.01,-0.07,0.00,1
80674,0.78,-0.07,9.62,0.02,-0.08,0.01,1
80683,0.86,-0.03,9.67,0.03,-0.07,0.01,1
80691,0.81,0.01,9.68,0.05,-0.04,0.01,1
80700,0.82,0.00,9.63,0.07,-0.01,0.01,1
80709,0.86,-0.01,9.57,0.08,0.01,0.00,1
80718,0.87,0.00,9.49,0.09,0.02,0.00,1
80726,0.89,-0.02,9.38,0.08,0.03,0.01,1
80735,0.89,-0.05,9.26,0.07,0.03,0.01,1
80744,0.88,-0.07,9.21,0.06,0.02,0.01,1
80753,0.88,-0.03,9.22,0.04,0.01,0.01,1
80761,0.86,-0.02,9.28,0.03,0.01,0.01,1
80770,0.84,-0.01,9.36,0.02,0.01,0.00,1
80779,0.82,-0.01,9.41,0.03,0.03,0.00,1
80788,0.81,-0.01,9.44,0.03,0.04,0.00,1
80796,0.80,-0.03,9.49,0.03,0.05,0.00,1
80805,0.80,-0.05,9.50,0.04,0.05,0.00,1
80814,0.85,-0.09,9.52,0.04,0.05,0.00,1
80823,0.87,-0.08,9.47,0.05,0.06,0.00,1
80831,0.88,-0.07,9.37,0.04,0.06,0.00,1
80840,0.85,-0.07,9.34,0.04,0.06,-0.00,1
80849,0.85,-0.08,9.32,0.02,0.05,-0.00,1
80858,0.81,-0.08,9.40,0.02,0.03,0.00,1
80868,0.80,-0.07,9.46,0.02,0.03,0.01,1
80876,0.77,-0.06,9.48,0.02,0.02,0.01,1
80885,0.78,-0.05,9.48,0.02,0.01,0.01,1
80894,0.75,-0.02,9.44,0.02,0.00,0.01,1
80903,0.75,-0.01,9.45,0.01,0.00,0.00,1
80911,0.70,0.03,9.48,0.01,-0.01,-0.00,1
80920,0.69,0.05,9.62,0.01,-0.01,-0.01,1
80929,0.72,0.05,9.66,0.02,-0.00,-0.01,1
80938,0.71,0.03,9.57,0.04,0.00,-0.01,1
80946,0.71,0.01,9.52,0.04,-0.00,-0.00,1
80955,0.71,0.02,9.39,0.05,-0.00,0.00,1
80964,0.75,0.04,9.38,0.04,-0.01,0.01,1
80973,0.79,0.01,9.37,0.04,-0.01,0.01,1
80983,0.79,-0.02,9.37,0.04,0.00,0.01,1
80993,0.77,-0.07,9.41,0.03,0.01,0.01,1
81001,0.76,-0.09,9.48,0.03,-0.01,0.01,1
81010,0.74,-0.09,9.50,0.03,-0.03,0.00,1
81019,0.74,-0.06,9.49,0.03,-0.03,0.00,1
