DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
625744,8,625747,0.05,-0.28,9.43,0.02,-0.02,-0.00,0
625753,9,625756,0.04,-0.28,9.44,0.02,-0.02,-0.00,0
625762,8,625765,0.05,-0.27,9.43,0.02,-0.02,-0.00,0
625771,8,625774,0.05,-0.27,9.43,0.02,-0.02,-0.00,0
625780,8,625783,0.06,-0.26,9.42,0.02,-0.02,-0.00,0
625789,8,625792,0.07,-0.25,9.41,0.02,-0.02,-0.00,0
625798,8,625801,0.07,-0.25,9.41,0.03,-0.02,-0.00,0
625807,9,625810,0.06,-0.25,9.44,0.02,-0.02,-0.00,0
625816,8,625819,0.05,-0.26,9.42,0.02,-0.02,-0.00,0
625825,8,625828,0.08,-0.24,9.43,0.03,-0.02,-0.00,0
625834,8,625837,0.10,-0.23,9.43,0.02,-0.02,-0.00,0
625843,8,625846,0.05,-0.24,9.41,0.02,-0.02,-0.00,0
625852,8,625855,0.11,-0.20,9.42,0.02,-0.00,-0.00,0
625861,8,625864,0.08,-0.22,9.45,0.02,0.01,-0.00,0
625870,8,625873,0.10,-0.24,9.47,0.02,0.00,-0.00,0
625879,8,625882,0.04,-0.24,9.48,0.02,0.00,-0.00,0
625888,8,625891,0.04,-0.25,9.45,0.02,-0.01,-0.00,0
625897,8,625900,0.10,-0.23,9.41,0.02,-0.02,-0.00,0
625906,8,625909,0.07,-0.26,9.44,0.02,-0.02,-0.00,0
625915,0,626916,0.06,-0.27,9.47,0.02,-0.02,-0.00,0
626922,8,626925,0.08,-0.27,9.44,0.02,-0.02,-0.00,0
626931,8,626934,0.06,-0.26,9.47,0.02,-0.02,-0.00,0
626940,8,626943,0.07,-0.25,9.44,0.03,-0.02,-0.00,0
626949,8,626952,0.08,-0.25,9.46,0.02,-0.02,-0.00,0
626958,8,626961,0.08,-0.26,9.45,0.03,-0.02,-0.00,0
626967,0,627967,0.10,-0.21,9.43,0.02,-0.02,-0.00,0
627973,8,627976,0.10,-0.22,9.43,0.02,-0.02,-0.00,0
627982,8,627985,0.09,-0.20,9.44,0.02,-0.02,-0.00,0
627991,8,627994,0.08,-0.22,9.41,0.02,-0.02,-0.00,0
628000,8,628003,0.06,-0.23,9.42,0.03,-0.02,-0.00,0
628009,8,628012,0.05,-0.24,9.45,0.02,-0.02,-0.00,0
628018,8,628021,0.02,-0.26,9.44,0.02,-0.02,-0.00,0
628027,8,628030,0.02,-0.27,9.43,0.02,-0.02,-0.00,0
628036,8,628039,0.04,-0.30,9.43,0.03,-0.02,-0.00,0
628045,8,628048,0.03,-0.29,9.42,0.02,-0.02,-0.00,0
628054,8,628057,0.03,-0.28,9.45,0.02,-0.02,-0.00,0
628063,8,628066,0.06,-0.28,9.43,0.02,-0.02,-0.00,0
628072,8,628075,0.07,-0.27,9.41,0.02,-0.02,-0.00,0
628081,8,628084,0.07,-0.26,9.43,0.02,-0.02,-0.00,0
628090,8,628093,0.08,-0.23,9.43,0.02,-0.02,-0.00,0
628099,8,628102,0.08,-0.24,9.40,0.02,-0.02,-0.00,0
628108,8,628111,0.06,-0.23,9.46,0.02,-0.02,-0.00,0
628117,8,628120,0.06,-0.22,9.45,0.02,-0.02,-0.00,0
628126,8,628129,0.06,-0.22,9.43,0.02,-0.02,-0.00,0
628135,8,628138,0.06,-0.22,9.43,0.02,-0.02,-0.00,0
628144,8,628147,0.06,-0.23,9.44,0.02,-0.02,-0.00,0
628153,8,628156,0.07,-0.24,9.41,0.02,-0.02,-0.00,0
628162,8,628165,0.06,-0.24,9.45,0.02,-0.02,-0.00,0
628171,8,628174,0.07,-0.23,9.43,0.03,-0.02,-0.00,0
628180,8,628183,0.09,-0.26,9.42,0.02,-0.02,-0.00,0
628189,8,628192,0.09,-0.27,9.44,0.02,-0.02,-0.00,0
628198,8,628201,0.08,-0.29,9.42,0.02,-0.02,-0.00,0
628207,8,628210,0.10,-0.28,9.43,0.02,-0.02,-0.00,0
628216,8,628219,0.09,-0.27,9.45,0.02,-0.02,-0.00,0
628225,8,628228,0.07,-0.28,9.43,0.02,-0.02,-0.00,0
628234,8,628237,0.08,-0.26,9.43,0.02,-0.02,-0.00,0
628243,8,628246,0.07,-0.23,9.45,0.02,-0.02,-0.00,0
628252,8,628255,0.05,-0.24,9.45,0.02,-0.02,-0.00,0
628261,0,629261,0.03,-0.21,9.43,0.02,-0.02,-0.00,0
629268,8,629271,0.05,-0.21,9.45,0.02,-0.02,-0.00,0
629277,8,629280,0.08,-0.23,9.43,0.02,-0.02,-0.00,0
629286,8,629289,0.11,-0.23,9.41,0.03,-0.02,-0.00,0
629295,8,629298,0.09,-0.23,9.44,0.03,-0.02,-0.00,0
629304,8,629307,0.08,-0.23,9.42,0.02,-0.02,-0.00,0
629313,8,629316,0.07,-0.23,9.42,0.02,-0.02,-0.00,0
629322,8,629325,0.10,-0.24,9.42,0.02,-0.02,-0.00,0
629331,8,629334,0.07,-0.25,9.42,0.02,-0.02,-0.00,0
629340,8,629343,0.06,-0.25,9.43,0.02,-0.02,-0.00,0
629349,8,629352,0.09,-0.24,9.44,0.02,-0.02,-0.00,0
629358,8,629361,0.06,-0.25,9.43,0.02,-0.02,-0.00,0
629367,8,629370,0.06,-0.26,9.41,0.02,-0.02,-0.00,0
629376,8,629379,0.06,-0.29,9.40,0.02,-0.02,-0.00,0
629385,8,629388,0.05,-0.27,9.42,0.02,-0.02,-0.00,0
629394,8,629397,0.04,-0.24,9.42,0.02,-0.02,-0.00,0
629403,8,629406,0.05,-0.25,9.43,0.02,-0.02,-0.00,0
629412,8,629415,0.05,-0.26,9.43,0.02,-0.02,-0.00,0
629421,8,629424,0.04,-0.24,9.45,0.02,-0.02,-0.00,0
629430,8,629433,0.04,-0.22,9.45,0.02,-0.02,-0.00,0
629439,8,629442,0.05,-0.24,9.43,0.02,-0.02,-0.00,0
629448,8,629451,0.07,-0.26,9.44,0.02,-0.02,-0.00,0
629457,8,629460,0.05,-0.24,9.45,0.02,-0.02,-0.00,0
629466,8,629469,0.07,-0.23,9.42,0.02,-0.02,-0.00,0
629475,8,629478,0.07,-0.23,9.44,0.02,-0.02,-0.00,0
629484,8,629487,0.07,-0.23,9.42,0.03,-0.02,-0.00,0
629493,8,629496,0.08,-0.23,9.44,0.02,-0.02,-0.00,0
629502,8,629505,0.10,-0.24,9.45,0.02,-0.02,-0.00,0
629511,8,629514,0.08,-0.26,9.42,0.02,-0.02,-0.00,0
629520,8,629523,0.10,-0.26,9.42,0.02,-0.02,-0.00,0
629529,8,629532,0.09,-0.27,9.44,0.02,-0.02,-0.00,0
629538,8,629541,0.07,-0.27,9.41,0.02,-0.02,-0.00,0
629547,8,629550,0.06,-0.25,9.42,0.02,-0.02,-0.00,0
629555,0,630556,0.05,-0.23,9.42,0.02,-0.02,-0.00,0
630562,8,630565,0.06,-0.23,9.41,0.02,-0.02,-0.00,0
630571,8,630574,0.09,-0.24,9.45,0.03,-0.02,-0.00,0
630580,8,630583,0.10,-0.23,9.44,0.02,-0.02,-0.00,0
630589,8,630592,0.10,-0.23,9.47,0.02,-0.02,-0.00,0
630598,8,630601,0.08,-0.23,9.45,0.02,-0.02,-0.00,0
630607,8,630610,0.11,-0.23,9.43,0.02,-0.02,-0.00,0
630616,8,630619,0.11,-0.23,9.42,0.02,-0.02,-0.00,0
630625,8,630628,0.08,-0.27,9.42,0.02,-0.02,-0.00,0
630634,8,630637,0.07,-0.27,9.43,0.02,-0.02,-0.00,0
630643,8,630646,0.07,-0.27,9.43,0.02,-0.02,-0.00,0
630652,8,630655,0.08,-0.25,9.45,0.02,-0.02,-0.00,0
630661,8,630664,0.07,-0.25,9.42,0.02,-0.02,-0.00,0
630670,8,630673,0.06,-0.25,9.43,0.02,-0.02,-0.00,0
630679,8,630682,0.07,-0.25,9.40,0.03,-0.02,-0.00,0
630688,8,630691,0.07,-0.24,9.41,0.02,-0.02,-0.00,0
630697,8,630700,0.04,-0.23,9.41,0.02,-0.02,-0.00,0
630706,8,630709,0.05,-0.23,9.42,0.02,-0.02,-0.00,0
630715,8,630718,0.05,-0.23,9.45,0.03,-0.02,-0.00,0
630724,8,630727,0.07,-0.25,9.40,0.02,-0.02,-0.00,0
630733,8,630736,0.08,-0.26,9.41,0.03,-0.02,-0.00,0
630742,8,630745,0.08,-0.27,9.44,0.02,-0.02,-0.00,0
630751,8,630754,0.08,-0.25,9.43,0.03,-0.02,-0.00,0
630760,8,630763,0.10,-0.24,9.43,0.02,-0.02,-0.00,0
630769,8,630772,0.11,-0.25,9.45,0.02,-0.02,-0.00,0
630778,8,630781,0.11,-0.23,9.44,0.03,-0.02,-0.00,0
630787,8,630790,0.09,-0.23,9.43,0.02,-0.02,-0.00,0
630796,8,630799,0.08,-0.26,9.45,0.02,-0.02,-0.00,0
630805,8,630808,0.08,-0.24,9.45,0.02,-0.02,-0.00,0
630814,8,630817,0.07,-0.25,9.43,0.02,-0.02,-0.00,0
630823,8,630826,0.03,-0.26,9.41,0.02,-0.02,-0.00,0
630832,8,630835,0.06,-0.28,9.41,0.02,-0.02,-0.00,0
630841,8,630844,0.07,-0.23,9.41,0.02,-0.02,-0.00,0
630851,8,630854,0.02,-0.24,9.41,0.02,-0.02,-0.00,0
630860,8,630863,0.05,-0.25,9.39,0.03,-0.03,-0.00,0
630869,8,630872,0.07,-0.25,9.40,0.02,-0.01,-0.00,0
630878,8,630881,0.05,-0.26,9.45,0.02,-0.01,-0.00,0
630887,8,630890,0.02,-0.26,9.43,0.02,-0.02,-0.00,0
630896,8,630899,0.06,-0.24,9.41,0.03,-0.02,-0.00,0
630905,8,630908,0.07,-0.23,9.43,0.02,-0.01,-0.00,0
630914,8,630917,0.05,-0.24,9.45,0.02,-0.02,-0.00,0
630923,8,630926,0.06,-0.24,9.40,0.03,-0.02,-0.00,0
630932,8,630935,0.06,-0.25,9.40,0.02,-0.02,-0.00,0
630941,8,630944,0.08,-0.26,9.44,0.02,-0.02,-0.00,0
630950,8,630953,0.08,-0.24,9.39,0.02,-0.02,-0.00,0
630959,8,630962,0.06,-0.26,9.41,0.02,-0.02,-0.00,0
630968,8,630971,0.05,-0.25,9.42,0.03,-0.02,-0.00,0
630977,8,630980,0.09,-0.23,9.42,0.03,-0.02,-0.00,0
630986,8,630989,0.09,-0.23,9.39,0.02,-0.02,-0.00,0
630995,8,630998,0.07,-0.24,9.42,0.02,-0.02,-0.00,0
