DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
0.0,345.0,0.0,-0.03,2.66,-0.01,-0.04,0.14,0
29.0,353.0,-0.18,-0.58,6.76,-0.02,-0.07,0.1,0
30.0,361.0,-0.25,-0.18,8.64,0.02,0.07,-0.02,0
30.0,369.0,0.19,-0.06,9.48,0.05,0.25,-0.02,0
30.0,377.0,0.13,-0.43,9.91,0.01,0.48,0.12,0
30.0,385.0,-0.81,-0.64,9.88,-0.02,0.76,0.28,0
30.0,393.0,-2.04,-0.98,9.65,-0.08,0.96,0.52,0
30.0,401.0,-3.16,-1.51,9.31,-0.15,1.0,0.82,0
30.0,409.0,-3.64,-1.62,8.84,-0.15,0.89,1.11,0
30.0,417.0,-3.21,-1.51,8.89,-0.14,0.67,1.36,0
30.0,425.0,-2.26,-1.14,9.26,-0.13,0.54,1.57,0
30.0,433.0,-0.79,-0.71,9.85,-0.15,0.54,1.69,0
30.0,441.0,1.08,-0.07,10.98,-0.16,0.74,1.66,0
30.0,449.0,2.62,0.38,12.13,-0.15,1.3,1.48,0
30.0,457.0,3.3,0.17,12.64,-0.13,2.13,1.24,0
30.0,465.0,2.77,0.11,11.5,-0.13,2.88,1.0,0
30.0,473.0,2.16,0.39,10.38,-0.14,3.23,0.79,0
30.0,481.0,1.67,0.35,10.55,-0.17,3.46,0.59,0
30.0,489.0,0.59,0.19,9.32,-0.17,3.58,0.4,0
30.0,497.0,-0.78,0.21,8.51,-0.14,3.46,0.22,0
30.0,505.0,-1.79,0.45,7.88,-0.1,3.2,0.11,0
30.0,513.0,-2.46,0.3,7.41,-0.09,2.79,0.06,0
30.0,521.0,-2.73,0.06,7.22,-0.1,2.27,0.06,0
30.0,529.0,-2.77,-0.01,7.59,-0.11,1.78,0.07,0
30.0,537.0,-2.66,0.16,8.46,-0.11,1.49,0.08,0
30.0,545.0,-2.65,0.36,9.17,-0.09,1.48,0.05,0
30.0,553.0,-2.71,0.36,9.68,-0.05,1.67,-0.0,0
30.0,561.0,-2.53,0.04,10.53,-0.03,2.09,-0.06,0
30.0,569.0,-2.18,-0.13,11.54,-0.0,2.8,-0.14,0
