DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
0.0,345.0,-2.65,0.01,-0.32,0.0,-0.0,-0.01,0
11.0,352.0,-6.75,0.01,-0.81,0.01,-0.0,-0.01,0
11.0,360.0,-8.37,0.0,-0.98,0.01,-0.0,-0.01,0
11.0,367.0,-9.02,-0.0,-1.06,0.02,-0.01,-0.02,0
11.0,374.0,-9.29,-0.01,-1.11,0.03,-0.02,-0.02,0
11.0,381.0,-9.4,-0.01,-1.17,0.04,-0.02,-0.02,0
11.0,388.0,-9.44,-0.02,-1.23,0.04,-0.03,-0.01,0
11.0,395.0,-9.4,-0.0,-1.3,0.04,-0.04,-0.01,0
11.0,402.0,-9.42,-0.03,-1.32,0.03,-0.05,-0.02,0
11.0,409.0,-9.44,-0.06,-1.3,0.02,-0.05,-0.02,0
11.0,416.0,-9.5,-0.06,-1.22,0.02,-0.03,-0.03,0
11.0,423.0,-9.55,-0.07,-1.2,0.02,-0.01,-0.03,0
11.0,430.0,-9.59,-0.08,-1.15,0.02,-0.01,-0.02,0
11.0,437.0,-9.64,-0.09,-1.14,0.02,-0.0,-0.02,0
11.0,444.0,-9.61,-0.07,-1.11,0.03,-0.01,-0.01,0
11.0,451.0,-9.56,-0.06,-1.13,0.04,-0.02,-0.0,0
11.0,458.0,-9.49,-0.08,-1.14,0.05,-0.04,0.0,0
11.0,465.0,-9.4,-0.09,-1.18,0.06,-0.05,-0.0,0
11.0,472.0,-9.35,-0.09,-1.17,0.06,-0.05,-0.01,0
11.0,479.0,-9.35,-0.11,-1.22,0.06,-0.05,-0.03,0
11.0,486.0,-9.37,-0.13,-1.26,0.06,-0.05,-0.04,0
11.0,493.0,-9.41,-0.17,-1.29,0.07,-0.04,-0.04,0
11.0,500.0,-9.49,-0.22,-1.34,0.07,-0.03,-0.05,0
12.0,507.0,-9.6,-0.22,-1.41,0.06,-0.01,-0.05,0
12.0,514.0,-9.67,-0.23,-1.47,0.05,0.01,-0.04,0
12.0,521.0,-9.68,-0.22,-1.48,0.04,0.02,-0.03,0
12.0,528.0,-9.68,-0.23,-1.51,0.03,0.01,-0.02,0
12.0,535.0,-9.65,-0.22,-1.47,0.02,-0.01,-0.01,0
12.0,542.0,-9.57,-0.21,-1.42,0.01,-0.02,-0.0,0
12.0,549.0,-9.49,-0.23,-1.37,0.01,-0.02,-0.01,0
12.0,556.0,-9.44,-0.25,-1.34,0.02,-0.03,-0.01,0
11.0,563.0,-9.49,-0.25,-1.32,0.02,-0.03,-0.02,0
11.0,570.0,-9.59,-0.24,-1.31,0.02,-0.01,-0.03,0
11.0,577.0,-9.7,-0.23,-1.32,0.02,0.0,-0.02,0
11.0,584.0,-9.76,-0.2,-1.33,0.02,0.01,-0.01,0
11.0,591.0,-9.78,-0.17,-1.32,0.01,0.0,0.0,0
11.0,598.0,-9.75,-0.14,-1.3,0.01,-0.02,0.02,0
11.0,605.0,-9.64,-0.11,-1.29,0.01,-0.04,0.03,0
12.0,612.0,-9.52,-0.11,-1.24,0.01,-0.04,0.03,0
12.0,619.0,-9.44,-0.13,-1.22,0.02,-0.03,0.03,0
12.0,626.0,-9.4,-0.12,-1.26,0.02,-0.02,0.02,0
12.0,633.0,-9.42,-0.09,-1.26,0.02,-0.02,0.01,0
11.0,640.0,-9.45,-0.1,-1.28,0.01,-0.02,0.01,0
11.0,647.0,-9.46,-0.11,-1.28,0.01,-0.03,0.0,0
12.0,654.0,-9.49,-0.13,-1.27,0.01,-0.03,0.0,0
11.0,661.0,-9.45,-0.12,-1.24,0.01,-0.03,0.0,0
11.0,668.0,-9.43,-0.1,-1.25,0.01,-0.02,0.0,0
11.0,675.0,-9.47,-0.12,-1.22,0.01,-0.02,-0.0,0
11.0,682.0,-9.55,-0.13,-1.22,0.01,-0.01,-0.0,0
11.0,689.0,-9.58,-0.11,-1.26,0.01,-0.01,0.0,0
11.0,696.0,-9.57,-0.06,-1.29,0.01,-0.02,0.01,0
11.0,703.0,-9.57,-0.07,-1.26,0.01,-0.03,0.01,0
11.0,710.0,-9.54,-0.1,-1.19,0.01,-0.04,0.01,0
11.0,717.0,-9.51,-0.12,-1.15,0.02,-0.04,0.02,0
11.0,724.0,-9.48,-0.11,-1.14,0.02,-0.03,0.01,0
11.0,731.0,-9.47,-0.11,-1.15,0.02,-0.02,0.0,0
11.0,738.0,-9.51,-0.14,-1.18,0.03,-0.01,-0.01,0
11.0,745.0,-9.56,-0.16,-1.2,0.03,-0.01,-0.01,0
11.0,752.0,-9.58,-0.17,-1.17,0.03,-0.01,-0.01,0
11.0,759.0,-9.6,-0.2,-1.16,0.03,-0.01,-0.01,0
11.0,766.0,-9.65,-0.23,-1.2,0.04,-0.01,-0.0,0
11.0,773.0,-9.69,-0.22,-1.28,0.04,-0.0,0.01,0
11.0,780.0,-9.68,-0.17,-1.33,0.04,-0.0,0.02,0
11.0,787.0,-9.6,-0.14,-1.37,0.04,-0.02,0.03,0
11.0,794.0,-9.5,-0.11,-1.38,0.04,-0.04,0.03,0
11.0,801.0,-9.37,-0.12,-1.39,0.04,-0.05,0.03,0
11.0,808.0,-9.28,-0.11,-1.4,0.04,-0.03,0.02,0
11.0,815.0,-9.23,-0.1,-1.4,0.03,-0.01,-0.0,0
11.0,822.0,-9.29,-0.09,-1.46,0.02,0.01,-0.02,0
11.0,829.0,-9.39,-0.12,-1.44,0.02,0.01,-0.04,0
11.0,836.0,-9.52,-0.15,-1.4,0.01,-0.0,-0.05,0
11.0,843.0,-9.63,-0.19,-1.34,0.01,-0.01,-0.04,0
11.0,850.0,-9.69,-0.21,-1.31,0.02,-0.02,-0.03,0
11.0,857.0,-9.7,-0.2,-1.29,0.02,-0.03,-0.02,0
11.0,864.0,-9.66,-0.16,-1.29,0.03,-0.04,-0.01,0
11.0,871.0,-9.56,-0.16,-1.34,0.03,-0.05,-0.0,0
11.0,878.0,-9.48,-0.11,-1.35,0.03,-0.05,-0.0,0
11.0,885.0,-9.45,-0.13,-1.35,0.02,-0.04,-0.01,0
11.0,892.0,-9.46,-0.15,-1.35,0.02,-0.03,-0.01,0
11.0,899.0,-9.52,-0.17,-1.32,0.01,-0.01,-0.02,0
11.0,906.0,-9.61,-0.17,-1.33,0.01,-0.01,-0.02,0
11.0,913.0,-9.68,-0.18,-1.3,0.01,-0.0,-0.02,0
11.0,920.0,-9.73,-0.2,-1.29,0.01,0.0,-0.01,0
11.0,927.0,-9.77,-0.21,-1.29,0.01,0.0,0.0,0
11.0,934.0,-9.78,-0.2,-1.27,0.01,-0.01,0.01,0
11.0,941.0,-9.75,-0.17,-1.26,0.01,-0.02,0.02,0
11.0,948.0,-9.7,-0.12,-1.24,0.01,-0.03,0.03,0
11.0,955.0,-9.61,-0.08,-1.21,0.02,-0.04,0.04,0
11.0,962.0,-9.5,-0.06,-1.18,0.02,-0.05,0.04,0
11.0,969.0,-9.39,-0.06,-1.15,0.02,-0.05,0.03,0
11.0,976.0,-9.36,-0.06,-1.11,0.02,-0.04,0.02,0
11.0,983.0,-9.41,-0.06,-1.14,0.03,-0.03,0.0,0
11.0,990.0,-9.47,-0.1,-1.18,0.03,-0.01,-0.01,0
11.0,997.0,-9.57,-0.1,-1.23,0.03,0.01,-0.02,0
11.0,1004.0,-9.69,-0.09,-1.24,0.03,0.01,-0.01,0
