DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
23.0,23690.0,-0.27,-0.15,-7.02,0.04,0.01,-0.07,0
22.93,23700.0,-0.32,-0.24,-9.31,0.04,0.04,-0.08,0
23.52,23708.0,-0.32,-0.31,-9.99,0.05,0.06,-0.08,0
22.64,23715.0,-0.32,-0.3,-10.19,0.05,0.08,-0.07,0
23.52,23723.0,-0.35,-0.33,-10.23,0.06,0.11,-0.07,0
23.52,23730.0,-0.38,-0.28,-10.2,0.07,0.12,-0.06,0
24.1,23738.0,-0.36,-0.22,-10.21,0.07,0.14,-0.05,0
23.24,23745.0,-0.34,-0.19,-10.25,0.07,0.14,-0.04,0
23.22,23753.0,-0.38,-0.2,-10.22,0.07,0.14,-0.03,0
24.1,23760.0,-0.44,-0.23,-10.24,0.07,0.15,-0.01,0
23.79,23768.0,-0.53,-0.26,-10.2,0.06,0.16,0.02,0
23.09,23775.0,-0.59,-0.27,-10.24,0.05,0.16,0.05,0
22.95,23783.0,-0.75,-0.34,-10.19,0.05,0.17,0.09,0
23.83,23790.0,-0.89,-0.39,-10.13,0.05,0.16,0.13,0
23.81,23800.0,-1.03,-0.45,-10.02,0.08,0.12,0.19,0
24.4,23808.0,-1.14,-0.44,-10.08,0.1,0.08,0.23,0
23.52,23815.0,-1.3,-0.42,-10.07,0.12,0.03,0.27,0
23.52,23823.0,-1.42,-0.44,-10.04,0.14,-0.02,0.33,0
23.52,23833.0,-1.39,-0.49,-10.06,0.17,-0.05,0.4,0
24.98,23843.0,-1.24,-0.54,-10.04,0.18,-0.09,0.44,0
24.1,23852.0,-1.16,-0.51,-10.09,0.19,-0.12,0.46,0
23.22,23860.0,-1.09,-0.5,-10.19,0.19,-0.12,0.46,0
24.1,23871.0,-1.15,-0.51,-10.22,0.2,-0.11,0.46,0
24.12,23882.0,-1.16,-0.5,-10.28,0.19,-0.11,0.44,0
25.0,23890.0,-1.29,-0.51,-10.32,0.18,-0.1,0.42,0
23.81,23901.0,-1.4,-0.57,-10.34,0.21,-0.09,0.42,0
23.83,23910.0,-1.35,-0.56,-10.33,0.22,-0.07,0.4,0
23.81,23918.0,-1.26,-0.53,-10.34,0.22,-0.07,0.37,0
23.83,23925.0,-1.11,-0.67,-10.32,0.23,-0.06,0.32,0
24.69,23933.0,-1.12,-0.47,-10.36,0.2,-0.06,0.24,0
24.4,23941.0,-1.06,-0.53,-10.36,0.14,-0.05,0.16,0
24.4,23950.0,-1.01,-0.54,-10.36,0.1,-0.04,0.09,0
23.52,23958.0,-1.0,-0.51,-10.31,0.08,-0.02,0.03,0
24.4,23966.0,-1.01,-0.51,-10.3,0.07,-0.0,-0.02,0
24.4,23975.0,-0.85,-0.5,-10.21,0.05,0.01,-0.08,0
24.41,23983.0,-0.7,-0.47,-10.21,0.03,0.03,-0.13,0
24.4,23991.0,-0.67,-0.44,-10.27,0.01,0.06,-0.19,0
25.28,24000.0,-0.68,-0.41,-10.28,-0.02,0.09,-0.24,0
24.98,24008.0,-0.75,-0.45,-10.17,-0.04,0.11,-0.27,0
24.98,24016.0,-0.91,-0.5,-10.08,-0.05,0.11,-0.29,0
25.0,24025.0,-1.15,-0.51,-10.01,-0.05,0.11,-0.28,0
24.1,24033.0,-1.29,-0.51,-9.95,-0.05,0.1,-0.26,0
24.1,24041.0,-1.34,-0.53,-9.91,-0.04,0.08,-0.22,0
24.1,24050.0,-1.39,-0.57,-9.84,-0.01,0.04,-0.17,0
24.1,24058.0,-1.22,-0.57,-9.88,0.0,-0.0,-0.12,0
24.1,24066.0,-1.0,-0.57,-10.01,0.02,-0.03,-0.1,0
24.12,24075.0,-0.83,-0.53,-10.17,0.02,-0.04,-0.09,0
24.1,24083.0,-0.79,-0.54,-10.25,0.01,-0.02,-0.08,0
24.1,24090.0,-0.83,-0.58,-10.35,0.01,-0.0,-0.08,0
25.0,24098.0,-0.88,-0.62,-10.31,-0.0,0.01,-0.09,0
25.0,24105.0,-0.93,-0.68,-10.21,0.0,0.0,-0.09,0
24.98,24113.0,-0.99,-0.72,-10.17,0.02,-0.01,-0.1,0
24.98,24120.0,-0.94,-0.71,-10.18,0.03,-0.02,-0.1,0
24.98,24128.0,-0.84,-0.67,-10.19,0.04,-0.03,-0.11,0
24.98,24135.0,-0.74,-0.62,-10.27,0.05,-0.03,-0.12,0
25.28,24143.0,-0.68,-0.53,-10.34,0.04,-0.02,-0.13,0
25.28,24150.0,-0.7,-0.47,-10.38,0.02,0.0,-0.14,0
24.41,24158.0,-0.84,-0.45,-10.34,0.0,0.02,-0.14,0
24.4,24165.0,-0.97,-0.48,-10.31,-0.01,0.02,-0.14,0
24.41,24173.0,-1.07,-0.53,-10.22,-0.02,0.02,-0.13,0
24.4,24181.0,-1.11,-0.58,-10.11,-0.01,0.0,-0.13,0
24.41,24190.0,-1.05,-0.59,-10.1,-0.01,-0.03,-0.13,0
23.52,24198.0,-0.94,-0.58,-10.12,-0.01,-0.05,-0.14,0
23.52,24205.0,-0.86,-0.56,-10.2,-0.01,-0.06,-0.15,0
24.4,24213.0,-0.78,-0.56,-10.26,-0.03,-0.05,-0.16,0
