DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
9.84,352.0,-6.78,-0.03,-2.09,-0.14,-0.1,0.02,0
10.43,363.0,-8.46,0.14,-2.55,-0.22,-0.06,-0.03,0
10.45,372.0,-8.97,0.21,-2.53,-0.29,-0.04,-0.09,0
9.53,381.0,-9.23,0.2,-2.43,-0.35,-0.02,-0.12,0
9.53,390.0,-9.3,0.13,-2.23,-0.38,-0.01,-0.12,0
8.66,399.0,-9.25,0.01,-2.04,-0.37,-0.02,-0.1,0
9.53,408.0,-9.14,-0.07,-1.84,-0.33,-0.05,-0.07,0
9.55,417.0,-8.96,-0.15,-1.68,-0.25,-0.09,-0.04,0
9.55,426.0,-8.77,-0.29,-1.63,-0.15,-0.09,-0.04,0
9.55,435.0,-8.65,-0.38,-1.63,-0.04,-0.06,-0.06,0
9.55,444.0,-8.71,-0.28,-1.71,0.05,0.01,-0.1,0
9.55,453.0,-8.84,-0.08,-1.81,0.1,0.1,-0.14,0
9.55,462.0,-9.06,0.04,-1.92,0.13,0.19,-0.18,0
9.53,471.0,-9.32,0.04,-2.01,0.16,0.25,-0.18,0
10.43,480.0,-9.48,-0.08,-2.07,0.18,0.29,-0.17,0
10.43,489.0,-9.5,-0.15,-2.07,0.22,0.3,-0.14,0
9.84,498.0,-9.52,-0.03,-2.04,0.26,0.29,-0.12,0
9.84,507.0,-9.53,0.0,-1.93,0.31,0.32,-0.11,0
9.84,516.0,-9.63,-0.03,-1.85,0.35,0.4,-0.1,0
9.84,525.0,-9.52,-0.3,-1.76,0.39,0.47,-0.1,0
9.84,534.0,-9.33,-0.5,-1.7,0.48,0.52,-0.12,0
9.84,543.0,-9.36,-0.4,-1.87,0.57,0.59,-0.14,0
10.72,552.0,-9.39,-0.28,-2.14,0.64,0.63,-0.13,0
10.14,561.0,-9.49,-0.31,-2.39,0.7,0.64,-0.12,0
10.14,570.0,-9.64,-0.34,-2.67,0.74,0.61,-0.09,0
10.14,579.0,-9.69,-0.42,-2.88,0.75,0.6,-0.06,0
11.03,588.0,-9.61,-0.43,-3.06,0.75,0.61,-0.02,0
