DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
6.0,220122.0,2.08,0.45,9.23,0.06,0.15,-0.01,0
5.0,220130.0,2.16,0.38,9.24,0.07,0.13,-0.01,0
5.0,220140.0,2.24,0.4,9.23,0.09,0.13,-0.01,0
5.0,220147.0,2.19,0.44,9.2,0.1,0.12,-0.02,0
5.0,220154.0,2.06,0.45,9.23,0.1,0.12,-0.02,0
5.0,220161.0,1.93,0.47,9.32,0.08,0.09,-0.02,0
5.0,220168.0,1.86,0.51,9.39,0.06,0.03,-0.02,0
5.0,220175.0,1.85,0.54,9.45,0.03,-0.03,-0.02,0
5.0,220182.0,1.95,0.56,9.42,0.01,-0.09,-0.01,0
5.0,220189.0,2.04,0.55,9.32,-0.0,-0.12,0.0,0
5.0,220196.0,2.08,0.55,9.25,-0.01,-0.12,0.0,0
5.0,220203.0,2.12,0.55,9.19,-0.02,-0.11,0.0,0
5.0,220210.0,2.16,0.52,9.26,-0.03,-0.09,0.0,0
9.0,220217.0,2.14,0.5,9.23,-0.04,-0.08,0.0,0
9.0,220224.0,2.17,0.48,9.19,-0.03,-0.06,0.0,0
1206.0,220301.0,2.29,0.58,9.16,0.02,-0.07,0.0,0
5.0,220308.0,2.21,0.51,9.14,0.01,-0.07,0.0,0
5.0,220314.0,2.15,0.42,9.19,0.01,-0.07,-0.0,0
5.0,220322.0,2.13,0.43,9.25,0.02,-0.07,-0.0,0
6.0,220329.0,2.14,0.45,9.25,0.02,-0.07,-0.0,0
7.0,220336.0,2.15,0.45,9.22,0.02,-0.07,-0.0,0
8.0,220343.0,2.12,0.41,9.25,0.03,-0.07,-0.01,0
3.0,220350.0,2.11,0.39,9.26,0.03,-0.08,-0.01,0
0.0,220454.0,2.24,0.54,9.17,0.05,0.01,-0.01,0
1206.0,220531.0,2.62,0.4,8.76,0.01,0.22,-0.0,0
1206.0,220608.0,1.97,0.54,9.25,-0.03,-0.12,0.02,0
1207.0,220685.0,2.15,0.42,9.2,0.07,0.04,-0.01,0
1207.0,220762.0,2.15,0.51,9.16,0.04,-0.01,-0.0,0
1207.0,220839.0,2.23,0.58,9.06,0.05,0.14,0.0,0
1207.0,220916.0,2.16,0.52,9.22,0.01,-0.13,0.01,0
1206.0,220993.0,2.33,0.56,9.14,0.01,-0.07,0.0,0
1206.0,221070.0,2.21,0.49,9.27,-0.04,-0.3,0.02,0
1206.0,221147.0,2.44,0.46,9.12,0.02,-0.17,-0.02,0
1206.0,221224.0,2.59,0.49,9.18,0.0,0.01,0.03,0
1206.0,221301.0,1.97,0.62,9.1,0.02,-0.04,0.02,0
1206.0,221378.0,2.6,0.3,9.15,-0.06,-0.12,0.03,0
1206.0,221455.0,2.78,0.31,9.14,-0.03,-0.03,0.01,0
1206.0,221532.0,2.29,0.27,9.12,0.14,0.55,-0.03,0
1216.0,221609.0,2.33,0.4,9.18,-0.03,-0.09,0.0,0
1215.0,221686.0,2.08,0.36,9.28,0.29,0.22,-0.01,0
1206.0,221763.0,2.25,0.62,9.13,0.02,-0.04,0.01,0
1207.0,221840.0,2.0,0.23,9.52,-0.09,-0.31,-0.05,0
1206.0,221917.0,2.08,0.47,9.37,-0.0,-0.12,0.01,0
1207.0,221994.0,2.01,0.38,9.54,0.05,-0.04,-0.01,0
1206.0,222071.0,2.82,0.39,9.3,-0.03,-0.32,-0.06,0
1207.0,222148.0,2.5,0.52,9.05,0.06,-0.26,-0.14,0
1207.0,222225.0,2.78,0.39,9.02,0.05,0.19,0.01,0
1206.0,222302.0,2.8,0.56,9.07,0.07,0.07,-0.02,0
1207.0,222379.0,2.63,0.47,9.26,0.05,-0.02,-0.01,0
1207.0,222456.0,2.6,0.67,9.15,0.01,0.02,0.0,0
1207.0,222533.0,2.47,0.85,9.1,-0.01,0.02,0.03,0
1207.0,222610.0,2.85,0.1,8.89,0.23,0.86,0.02,0
65.0,222620.0,2.5,0.31,9.44,0.34,1.16,-0.0,0
65.0,222630.0,1.94,0.66,9.66,0.34,1.26,0.02,0
65.0,222640.0,1.62,1.02,9.65,0.27,1.24,0.06,0
1207.0,222717.0,1.86,0.67,9.28,0.04,0.06,-0.0,0
1207.0,222794.0,2.21,0.55,9.33,-0.2,-0.91,0.27,0
1207.0,222871.0,4.48,0.28,9.33,0.06,0.2,0.23,0
0.0,222878.0,4.37,-0.07,9.45,0.18,0.83,0.21,0
30.0,222886.0,4.07,-0.31,9.63,0.28,1.28,0.17,0
10.0,222894.0,3.66,-0.46,9.68,0.34,1.45,0.1,0
10.0,222902.0,3.32,-0.52,9.71,0.36,1.43,0.0,0
8.0,222924.0,2.09,-0.48,9.46,0.27,0.93,-0.34,0
3.0,222948.0,-1.01,1.52,7.77,-0.33,0.97,0.2,0
0.0,223052.0,1.42,-1.35,9.66,-1.09,0.84,0.73,0
0.0,223163.0,0.45,-1.24,9.38,-0.9,0.2,0.58,0
13.0,223173.0,0.12,-1.26,9.33,-0.97,0.24,0.58,0
2.0,223180.0,-0.16,-1.31,9.33,-0.99,0.23,0.63,0
10.0,223186.0,-0.29,-1.42,9.33,-0.99,0.17,0.68,0
5.0,223193.0,-0.25,-1.57,9.32,-0.98,0.09,0.73,0
2.0,223200.0,-0.2,-1.72,9.32,-0.97,-0.02,0.78,0
0.0,223303.0,0.02,-2.24,8.49,-0.59,-0.22,0.82,0
2.0,223310.0,-0.26,-2.04,8.49,-0.66,-0.12,0.81,0
2.0,223316.0,-0.46,-2.09,8.61,-0.72,-0.08,0.78,0
0.0,223322.0,-0.52,-2.29,8.73,-0.76,-0.1,0.72,0
4.0,223328.0,-0.49,-2.52,8.85,-0.79,-0.14,0.65,0
3.0,223335.0,-0.41,-2.7,9.0,-0.81,-0.19,0.54,0
5.0,223341.0,-0.32,-2.66,9.08,-0.81,-0.21,0.43,0
1.0,223347.0,-0.24,-2.57,9.07,-0.79,-0.18,0.34,0
0.0,223452.0,0.96,-3.39,7.49,-0.49,-0.88,-0.25,0
4.0,223458.0,0.94,-3.42,7.49,-0.49,-0.78,-0.24,0
0.0,223562.0,1.93,-4.82,7.74,-1.11,-1.14,-0.08,0
6.0,223568.0,2.06,-4.74,7.88,-1.18,-0.93,-0.03,0
2.0,223574.0,2.13,-4.65,8.05,-1.24,-0.7,0.01,0
10.0,223581.0,2.18,-4.58,8.21,-1.27,-0.43,0.04,0
13.0,223589.0,2.18,-4.57,8.32,-1.27,-0.26,0.03,0
1208.0,223666.0,2.11,-6.31,10.03,-0.26,0.63,0.35,0
5.0,223671.0,2.37,-6.14,10.31,-0.16,0.68,0.43,0
14.0,223679.0,2.83,-5.06,10.52,0.01,0.61,0.45,0
10.0,223686.0,3.09,-4.53,10.24,0.06,0.64,0.39,0
5.0,223693.0,3.08,-4.27,10.35,0.03,0.79,0.3,0
11.0,223700.0,3.05,-4.1,10.64,0.03,1.0,0.2,0
4.0,223706.0,2.85,-4.22,10.54,0.06,1.19,0.12,0
0.0,223711.0,2.63,-4.41,10.19,0.1,1.35,0.06,0
4.0,223718.0,2.42,-4.56,9.74,0.14,1.46,0.02,0
11.0,223725.0,2.03,-4.68,9.08,0.15,1.51,-0.01,0
5.0,223731.0,1.62,-4.75,8.59,0.15,1.46,-0.03,0
