DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
29.02,23677.0,-6.78,1.1,-0.63,0.02,-0.02,0.0,0
29.02,23687.0,-8.52,1.37,-0.81,0.02,-0.02,0.0,0
29.02,23695.0,-9.13,1.48,-0.85,0.02,-0.02,0.0,0
29.02,23704.0,-9.34,1.51,-0.85,0.02,-0.02,0.0,0
29.02,23714.0,-9.4,1.52,-0.86,0.02,-0.02,0.0,0
29.02,23724.0,-9.41,1.52,-0.88,0.02,-0.02,0.0,0
29.02,23734.0,-9.4,1.53,-0.88,0.02,-0.02,0.0,0
29.02,23744.0,-9.41,1.53,-0.87,0.02,-0.02,0.0,0
29.02,23754.0,-9.42,1.53,-0.85,0.02,-0.02,0.0,0
29.02,23764.0,-9.43,1.5,-0.84,0.02,-0.02,0.0,0
29.02,23774.0,-9.41,1.5,-0.83,0.02,-0.02,0.0,0
29.02,23784.0,-9.45,1.5,-0.85,0.02,-0.02,0.0,0
29.02,23794.0,-9.41,1.53,-0.85,0.02,-0.02,0.0,0
29.02,23804.0,-9.43,1.52,-0.83,0.02,-0.02,0.0,0
29.02,23814.0,-9.4,1.51,-0.83,0.02,-0.02,0.0,0
29.02,23824.0,-9.43,1.5,-0.83,0.02,-0.02,0.0,0
29.02,23835.0,-9.42,1.52,-0.84,0.02,-0.02,0.0,0
29.03,23843.0,-9.44,1.51,-0.83,0.02,-0.02,0.0,0
29.02,23854.0,-9.44,1.51,-0.83,0.02,-0.02,0.0,0
29.02,23864.0,-9.41,1.52,-0.83,0.02,-0.02,0.0,0
29.03,23874.0,-9.42,1.5,-0.87,0.02,-0.02,0.0,0
29.02,23883.0,-9.4,1.51,-0.89,0.02,-0.02,0.0,0
35.53,23893.0,-9.43,1.52,-0.89,0.02,-0.02,0.0,0
29.03,23902.0,-9.41,1.5,-0.88,0.02,-0.02,0.0,0
29.02,23911.0,-9.4,1.52,-0.88,0.02,-0.02,0.0,0
29.03,23919.0,-9.39,1.52,-0.87,0.02,-0.02,0.0,0
29.02,23929.0,-9.42,1.52,-0.85,0.02,-0.02,0.0,0
29.02,23939.0,-9.41,1.51,-0.82,0.02,-0.02,0.0,0
30.34,23949.0,-9.44,1.49,-0.86,0.02,-0.02,0.0,0
30.34,23959.0,-9.42,1.5,-0.87,0.02,-0.02,0.0,0
29.02,23969.0,-9.45,1.5,-0.87,0.02,-0.02,0.0,0
29.02,23979.0,-9.42,1.51,-0.86,0.02,-0.02,0.0,0
30.34,23989.0,-9.42,1.51,-0.85,0.02,-0.02,0.0,0
30.34,23999.0,-9.43,1.52,-0.86,0.02,-0.02,0.0,0
30.34,24009.0,-9.44,1.51,-0.87,0.02,-0.02,0.0,0
29.02,24019.0,-9.41,1.52,-0.87,0.02,-0.02,0.0,0
29.02,24029.0,-9.44,1.52,-0.85,0.02,-0.02,0.0,0
30.34,24039.0,-9.42,1.49,-0.85,0.02,-0.02,0.0,0
29.02,24049.0,-9.42,1.49,-0.85,0.02,-0.02,0.0,0
30.34,24059.0,-9.44,1.51,-0.84,0.02,-0.02,0.0,0
29.02,24069.0,-9.42,1.51,-0.81,0.02,-0.02,0.0,0
29.03,24079.0,-9.42,1.51,-0.85,0.02,-0.02,0.0,0
29.03,24089.0,-9.43,1.49,-0.86,0.02,-0.02,0.0,0
29.03,24099.0,-9.41,1.51,-0.87,0.02,-0.02,0.0,0
30.33,24109.0,-9.42,1.53,-0.86,0.02,-0.02,0.0,0
29.02,24119.0,-9.42,1.53,-0.85,0.02,-0.02,0.0,0
29.02,24129.0,-9.42,1.52,-0.82,0.02,-0.02,0.0,0
29.03,24139.0,-9.42,1.51,-0.83,0.02,-0.02,0.0,0
30.33,24149.0,-9.42,1.51,-0.85,0.02,-0.02,0.0,0
30.33,24159.0,-9.42,1.5,-0.87,0.02,-0.02,0.0,0
30.33,24169.0,-9.41,1.52,-0.86,0.02,-0.02,0.0,0
30.33,24179.0,-9.42,1.52,-0.85,0.02,-0.02,0.0,0
30.33,24189.0,-9.42,1.5,-0.85,0.02,-0.02,0.0,0
29.03,24199.0,-9.43,1.52,-0.85,0.02,-0.02,0.0,0
30.33,24209.0,-9.41,1.51,-0.85,0.02,-0.02,0.0,0
30.33,24219.0,-9.43,1.51,-0.87,0.02,-0.02,0.0,0
30.33,24229.0,-9.41,1.5,-0.84,0.02,-0.02,0.0,0
30.34,24239.0,-9.44,1.5,-0.84,0.02,-0.02,0.0,0
30.33,24249.0,-9.41,1.51,-0.86,0.02,-0.02,0.0,0
30.33,24259.0,-9.42,1.5,-0.85,0.02,-0.02,0.0,0
30.34,24269.0,-9.42,1.53,-0.85,0.02,-0.02,0.0,0
30.33,24279.0,-9.43,1.52,-0.83,0.02,-0.02,0.0,0
30.34,24289.0,-9.41,1.51,-0.85,0.02,-0.02,0.0,0
29.02,24299.0,-9.41,1.49,-0.84,0.02,-0.02,0.0,0
30.33,24309.0,-9.41,1.5,-0.82,0.02,-0.02,0.0,0
30.33,24319.0,-9.43,1.52,-0.87,0.02,-0.02,0.0,0
