DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
11.33,352.0,0.23,-0.12,7.11,0.02,-0.02,0.0,0
11.34,363.0,0.28,-0.16,8.91,0.02,-0.02,0.0,0
11.33,372.0,0.28,-0.16,9.3,0.02,-0.02,0.0,0
11.33,381.0,0.28,-0.15,9.39,0.02,-0.02,0.0,0
11.33,390.0,0.3,-0.14,9.42,0.02,-0.02,0.0,0
11.33,399.0,0.31,-0.15,9.44,0.02,-0.02,0.0,0
11.34,408.0,0.29,-0.16,9.44,0.02,-0.02,0.0,0
11.33,417.0,0.28,-0.15,9.45,0.02,-0.02,0.0,0
11.33,426.0,0.3,-0.14,9.45,0.02,-0.02,0.0,0
11.34,435.0,0.3,-0.14,9.47,0.02,-0.02,0.0,0
11.33,444.0,0.31,-0.14,9.45,0.02,-0.02,0.0,0
11.33,453.0,0.29,-0.17,9.45,0.02,-0.02,0.0,0
11.33,462.0,0.3,-0.17,9.45,0.02,-0.02,0.0,0
11.33,471.0,0.28,-0.16,9.45,0.02,-0.02,0.0,0
11.33,480.0,0.28,-0.15,9.41,0.02,-0.02,0.0,0
11.33,489.0,0.29,-0.16,9.44,0.02,-0.02,0.0,0
11.33,498.0,0.28,-0.15,9.42,0.02,-0.02,0.0,0
11.33,507.0,0.28,-0.14,9.42,0.02,-0.02,0.0,0
11.33,516.0,0.27,-0.12,9.43,0.02,-0.02,0.0,0
11.34,525.0,0.28,-0.15,9.44,0.02,-0.02,0.0,0
11.33,534.0,0.3,-0.15,9.43,0.02,-0.02,0.0,0
11.33,543.0,0.3,-0.15,9.44,0.02,-0.02,0.0,0
11.33,552.0,0.27,-0.15,9.41,0.02,-0.02,0.0,0
11.33,561.0,0.27,-0.16,9.44,0.02,-0.02,0.0,0
11.33,570.0,0.27,-0.17,9.43,0.02,-0.02,0.0,0
11.33,579.0,0.27,-0.17,9.43,0.02,-0.02,0.0,0
11.33,588.0,0.26,-0.18,9.45,0.02,-0.02,0.0,0
11.33,597.0,0.28,-0.18,9.43,0.02,-0.02,0.0,0
11.34,606.0,0.28,-0.16,9.44,0.02,-0.02,0.0,0
11.33,615.0,0.29,-0.14,9.45,0.02,-0.02,0.0,0
11.34,624.0,0.29,-0.16,9.45,0.02,-0.02,0.0,0
11.33,633.0,0.29,-0.15,9.44,0.02,-0.02,0.0,0
11.33,642.0,0.3,-0.14,9.45,0.02,-0.02,0.0,0
11.33,651.0,0.28,-0.15,9.44,0.02,-0.02,0.0,0
11.33,660.0,0.27,-0.16,9.44,0.02,-0.02,0.0,0
11.33,669.0,0.28,-0.16,9.47,0.02,-0.02,0.0,0
11.34,678.0,0.26,-0.15,9.42,0.02,-0.02,0.0,0
11.33,687.0,0.27,-0.16,9.43,0.02,-0.02,0.0,0
11.34,696.0,0.28,-0.17,9.46,0.02,-0.02,0.0,0
11.33,705.0,0.28,-0.17,9.46,0.02,-0.02,0.0,0
11.33,714.0,0.27,-0.17,9.43,0.02,-0.02,0.0,0
11.34,723.0,0.28,-0.15,9.43,0.02,-0.02,0.0,0
11.33,732.0,0.28,-0.17,9.44,0.02,-0.02,0.0,0
11.33,741.0,0.29,-0.16,9.42,0.02,-0.02,0.0,0
11.33,750.0,0.3,-0.15,9.43,0.02,-0.02,0.0,0
11.33,759.0,0.28,-0.16,9.44,0.02,-0.02,0.0,0
11.33,768.0,0.29,-0.15,9.47,0.02,-0.02,0.0,0
11.33,777.0,0.29,-0.14,9.44,0.02,-0.02,0.0,0
11.33,786.0,0.3,-0.14,9.45,0.02,-0.02,0.0,0
11.33,795.0,0.28,-0.16,9.45,0.02,-0.02,0.0,0
11.33,804.0,0.29,-0.15,9.45,0.02,-0.02,0.0,0
11.33,813.0,0.29,-0.17,9.43,0.02,-0.02,0.0,0
11.33,822.0,0.27,-0.16,9.45,0.02,-0.02,0.0,0
11.34,831.0,0.25,-0.16,9.43,0.02,-0.02,0.0,0
11.33,840.0,0.27,-0.15,9.41,0.02,-0.02,0.0,0
11.33,849.0,0.3,-0.15,9.45,0.02,-0.02,0.0,0
11.33,858.0,0.29,-0.14,9.45,0.02,-0.02,0.0,0
11.33,867.0,0.27,-0.16,9.44,0.02,-0.02,0.0,0
11.33,876.0,0.27,-0.16,9.46,0.02,-0.02,0.0,0
11.33,885.0,0.29,-0.15,9.46,0.02,-0.02,0.0,0
11.33,894.0,0.28,-0.16,9.44,0.02,-0.02,0.0,0
11.33,903.0,0.27,-0.15,9.44,0.02,-0.02,0.0,0
11.33,912.0,0.28,-0.15,9.44,0.02,-0.02,0.0,0
11.33,921.0,0.3,-0.14,9.44,0.02,-0.02,0.0,0
11.33,930.0,0.26,-0.15,9.41,0.02,-0.02,0.0,0
11.33,939.0,0.28,-0.15,9.42,0.02,-0.02,0.0,0
11.33,948.0,0.28,-0.16,9.43,0.02,-0.02,0.0,0
11.33,957.0,0.3,-0.16,9.35,0.02,-0.02,0.0,0
11.33,966.0,0.3,-0.16,9.46,0.02,-0.02,0.0,0
11.33,975.0,0.28,-0.17,9.44,0.02,-0.02,0.0,0
11.33,984.0,0.29,-0.16,9.46,0.02,-0.02,0.0,0
11.33,993.0,0.29,-0.13,9.48,0.02,-0.02,0.0,0
11.33,1002.0,0.29,-0.15,9.47,0.02,-0.02,0.0,0
11.33,1011.0,0.28,-0.14,9.45,0.02,-0.02,0.0,0
11.33,1020.0,0.3,-0.13,9.42,0.02,-0.01,0.0,0
11.33,1029.0,0.3,-0.13,9.41,0.02,-0.02,0.0,0
11.33,1038.0,0.26,-0.15,9.43,0.02,-0.02,0.0,0
11.33,1047.0,0.27,-0.17,9.45,0.02,-0.02,0.0,0
11.34,1056.0,0.27,-0.16,9.44,0.02,-0.02,0.0,0
11.33,1065.0,0.3,-0.18,9.44,0.02,-0.02,0.0,0
10.74,1074.0,0.28,-0.19,9.46,0.02,-0.02,0.0,0
11.33,1083.0,0.28,-0.17,9.42,0.02,-0.02,0.0,0
11.33,1092.0,0.29,-0.16,9.42,0.02,-0.02,0.0,0
11.33,1101.0,0.3,-0.17,9.44,0.02,-0.02,0.0,0
11.33,1110.0,0.3,-0.18,9.42,0.02,-0.02,0.0,0
11.33,1119.0,0.3,-0.17,9.42,0.02,-0.02,0.0,0
11.34,1128.0,0.3,-0.14,9.45,0.02,-0.02,0.0,0
11.34,1137.0,0.29,-0.14,9.48,0.02,-0.02,0.0,0
11.33,1146.0,0.3,-0.13,9.46,0.02,-0.02,0.0,0
11.33,1155.0,0.28,-0.14,9.45,0.02,-0.02,0.0,0
11.34,1164.0,0.28,-0.14,9.44,0.02,-0.02,0.0,0
11.33,1173.0,0.28,-0.15,9.42,0.02,-0.02,0.0,0
11.34,1182.0,0.24,-0.17,9.4,0.02,-0.02,0.0,0
11.33,1191.0,0.27,-0.16,9.43,0.02,-0.02,0.0,0
11.33,1200.0,0.28,-0.17,9.44,0.02,-0.02,0.0,0
11.34,1209.0,0.27,-0.17,9.44,0.02,-0.02,0.0,0
11.34,1218.0,0.27,-0.17,9.45,0.02,-0.02,0.0,0
11.33,1227.0,0.29,-0.16,9.45,0.02,-0.02,0.0,0
11.34,1236.0,0.3,-0.13,9.42,0.02,-0.02,0.0,0
11.33,1245.0,0.28,-0.16,9.44,0.02,-0.02,0.0,0
11.33,1254.0,0.29,-0.15,9.45,0.02,-0.02,0.0,0
11.33,1263.0,0.29,-0.13,9.44,0.02,-0.02,0.0,0
11.33,1272.0,0.28,-0.14,9.45,0.02,-0.02,0.0,0
11.33,1281.0,0.29,-0.15,9.46,0.02,-0.02,0.0,0
11.33,1290.0,0.29,-0.15,9.44,0.02,-0.02,0.0,0
11.34,1299.0,0.28,-0.17,9.45,0.02,-0.02,0.0,0
11.33,1308.0,0.29,-0.19,9.45,0.02,-0.02,0.0,0
11.33,1317.0,0.28,-0.19,9.47,0.02,-0.02,0.0,0
11.33,1326.0,0.27,-0.19,9.43,0.02,-0.02,0.0,0
11.33,1335.0,0.28,-0.17,9.43,0.02,-0.02,0.0,0
11.34,1344.0,0.29,-0.15,9.44,0.02,-0.02,0.0,0
11.33,1353.0,0.29,-0.15,9.44,0.02,-0.02,0.0,0
11.33,1362.0,0.28,-0.15,9.45,0.02,-0.02,0.0,0
11.33,1371.0,0.27,-0.14,9.44,0.02,-0.02,0.0,0
11.34,1380.0,0.27,-0.15,9.45,0.02,-0.02,0.0,0
11.33,1389.0,0.25,-0.15,9.44,0.02,-0.02,0.0,0
11.33,1398.0,0.26,-0.15,9.45,0.02,-0.02,0.0,0
11.33,1407.0,0.27,-0.15,9.46,0.02,-0.02,0.0,0
11.33,1416.0,0.28,-0.16,9.45,0.02,-0.02,0.0,0
11.33,1425.0,0.26,-0.16,9.41,0.02,-0.02,0.0,0
11.33,1434.0,0.27,-0.17,9.42,0.02,-0.02,0.0,0
11.33,1443.0,0.29,-0.17,9.44,0.02,-0.02,0.0,0
11.34,1452.0,0.3,-0.16,9.44,0.02,-0.02,0.0,0
11.33,1461.0,0.29,-0.18,9.46,0.02,-0.02,0.0,0
11.33,1470.0,0.29,-0.17,9.47,0.02,-0.02,0.0,0
11.33,1479.0,0.31,-0.14,9.47,0.02,-0.02,0.0,0
11.34,1488.0,0.3,-0.14,9.46,0.02,-0.02,0.0,0
11.33,1497.0,0.29,-0.14,9.44,0.02,-0.02,0.0,0
11.33,1506.0,0.29,-0.14,9.46,0.02,-0.02,0.0,0
11.34,1515.0,0.27,-0.12,9.44,0.02,-0.02,0.0,0
11.34,1524.0,0.28,-0.14,9.43,0.02,-0.02,0.0,0
11.33,1533.0,0.27,-0.15,9.46,0.02,-0.02,0.0,0
11.33,1542.0,0.27,-0.15,9.43,0.02,-0.02,0.0,0
11.33,1551.0,0.26,-0.15,9.45,0.02,-0.02,0.0,0
11.33,1560.0,0.27,-0.16,9.42,0.02,-0.02,0.0,0
11.33,1569.0,0.29,-0.17,9.42,0.02,-0.02,0.0,0
11.33,1578.0,0.28,-0.17,9.43,0.02,-0.02,0.0,0
11.33,1587.0,0.26,-0.16,9.45,0.02,-0.02,0.0,0
11.33,1596.0,0.27,-0.16,9.44,0.02,-0.02,0.0,0
10.45,1605.0,0.28,-0.15,9.45,0.02,-0.02,0.0,0
11.33,1614.0,0.31,-0.14,9.44,0.02,-0.02,0.0,0
11.33,1623.0,0.29,-0.14,9.45,0.02,-0.02,0.0,0
11.33,1632.0,0.27,-0.16,9.45,0.02,-0.02,0.0,0
11.33,1641.0,0.28,-0.14,9.47,0.02,-0.02,0.0,0
11.33,1650.0,0.29,-0.15,9.5,0.02,-0.02,0.0,0
11.34,1659.0,0.26,-0.16,9.5,0.02,-0.02,0.0,0
11.33,1668.0,0.27,-0.17,9.45,0.02,-0.02,0.0,0
11.33,1677.0,0.28,-0.17,9.43,0.02,-0.02,0.0,0
11.33,1686.0,0.32,-0.17,9.46,0.02,-0.02,0.0,0
11.33,1695.0,0.3,-0.15,9.45,0.02,-0.02,0.0,0
11.33,1704.0,0.29,-0.16,9.43,0.02,-0.02,0.0,0
11.33,1713.0,0.3,-0.15,9.44,0.02,-0.02,0.0,0
11.33,1722.0,0.3,-0.13,9.45,0.02,-0.02,0.0,0
11.33,1731.0,0.28,-0.13,9.47,0.02,-0.02,0.0,0
11.33,1740.0,0.26,-0.15,9.43,0.02,-0.02,0.0,0
11.33,1749.0,0.24,-0.13,9.45,0.02,-0.02,0.0,0
11.33,1758.0,0.28,-0.16,9.46,0.02,-0.02,0.0,0
11.33,1767.0,0.29,-0.16,9.44,0.02,-0.02,0.0,0
11.34,1776.0,0.27,-0.16,9.43,0.02,-0.02,0.0,0
11.33,1785.0,0.28,-0.15,9.42,0.02,-0.02,0.0,0
11.34,1794.0,0.3,-0.17,9.43,0.02,-0.02,0.0,0
11.33,1803.0,0.28,-0.16,9.46,0.02,-0.02,0.0,0
11.34,1812.0,0.28,-0.17,9.43,0.02,-0.02,0.0,0
11.34,1821.0,0.29,-0.16,9.42,0.02,-0.02,0.0,0
11.33,1830.0,0.31,-0.17,9.44,0.02,-0.02,0.0,0
11.33,1839.0,0.33,-0.18,9.43,0.02,-0.02,0.0,0
11.33,1848.0,0.32,-0.16,9.43,0.02,-0.02,0.0,0
11.33,1857.0,0.31,-0.15,9.44,0.02,-0.02,0.0,0
11.33,1866.0,0.29,-0.16,9.42,0.02,-0.02,0.0,0
11.33,1875.0,0.28,-0.16,9.45,0.02,-0.02,0.0,0
11.33,1884.0,0.25,-0.14,9.45,0.02,-0.02,0.0,0
11.33,1893.0,0.26,-0.14,9.43,0.02,-0.02,0.0,0
11.33,1902.0,0.25,-0.13,9.43,0.02,-0.02,0.0,0
11.33,1911.0,0.26,-0.16,9.44,0.02,-0.02,0.0,0
11.33,1920.0,0.25,-0.16,9.45,0.02,-0.02,0.0,0
11.33,1929.0,0.28,-0.16,9.44,0.02,-0.02,0.0,0
11.33,1938.0,0.29,-0.15,9.43,0.02,-0.02,0.0,0
11.33,1947.0,0.29,-0.15,9.45,0.02,-0.02,0.0,0
11.33,1956.0,0.29,-0.14,9.46,0.02,-0.02,0.0,0
11.34,1965.0,0.31,-0.14,9.46,0.02,-0.02,0.0,0
11.34,1974.0,0.31,-0.13,9.45,0.02,-0.02,0.0,0
11.33,1983.0,0.31,-0.16,9.45,0.02,-0.02,0.0,0
11.33,1992.0,0.31,-0.16,9.45,0.02,-0.02,0.0,0
11.33,2001.0,0.29,-0.16,9.46,0.02,-0.02,0.0,0
11.33,2010.0,0.27,-0.17,9.47,0.02,-0.02,0.0,0
11.33,2019.0,0.28,-0.16,9.47,0.02,-0.02,0.0,0
11.33,2028.0,0.29,-0.16,9.46,0.02,-0.02,0.0,0
11.34,2037.0,0.28,-0.16,9.45,0.02,-0.02,0.0,0
11.33,2046.0,0.27,-0.15,9.45,0.02,-0.02,0.0,0
11.33,2055.0,0.28,-0.14,9.46,0.02,-0.02,0.0,0
11.34,2064.0,0.29,-0.15,9.48,0.02,-0.02,0.0,0
11.34,2073.0,0.29,-0.14,9.48,0.02,-0.02,0.0,0
11.33,2082.0,0.27,-0.15,9.48,0.02,-0.02,0.0,0
11.33,2091.0,0.27,-0.15,9.47,0.02,-0.02,0.0,0
11.34,2100.0,0.29,-0.14,9.47,0.02,-0.02,0.0,0
11.33,2109.0,0.29,-0.14,9.45,0.03,-0.02,0.0,0
11.33,2118.0,0.26,-0.17,9.45,0.02,-0.02,0.0,0
11.33,2127.0,0.27,-0.16,9.46,0.02,-0.02,0.0,0
11.33,2136.0,0.28,-0.16,9.47,0.02,-0.02,0.0,0
11.34,2145.0,0.27,-0.16,9.47,0.02,-0.02,0.0,0
11.33,2154.0,0.27,-0.16,9.45,0.02,-0.02,0.0,0
11.33,2163.0,0.29,-0.16,9.43,0.02,-0.02,0.0,0
11.33,2172.0,0.28,-0.17,9.41,0.02,-0.02,0.0,0
11.33,2181.0,0.3,-0.16,9.44,0.02,-0.02,0.0,0
11.33,2190.0,0.29,-0.17,9.42,0.02,-0.02,0.0,0
11.33,2199.0,0.31,-0.16,9.45,0.02,-0.02,0.0,0
11.33,2208.0,0.3,-0.16,9.49,0.02,-0.02,0.0,0
11.33,2217.0,0.3,-0.15,9.45,0.02,-0.02,0.0,0
11.34,2226.0,0.29,-0.17,9.46,0.02,-0.02,0.0,0
11.34,2235.0,0.3,-0.16,9.46,0.02,-0.02,0.0,0
11.33,2244.0,0.28,-0.15,9.44,0.02,-0.02,0.0,0
11.33,2253.0,0.27,-0.17,9.45,0.02,-0.02,0.0,0
11.33,2262.0,0.27,-0.17,9.43,0.02,-0.02,0.0,0
11.33,2271.0,0.28,-0.16,9.42,0.02,-0.02,0.0,0
11.33,2280.0,0.28,-0.16,9.43,0.02,-0.02,0.0,0
11.33,2289.0,0.28,-0.15,9.45,0.02,-0.02,0.0,0
11.33,2298.0,0.28,-0.16,9.44,0.02,-0.02,0.0,0
11.34,2307.0,0.3,-0.15,9.45,0.02,-0.02,0.0,0
11.33,2316.0,0.3,-0.14,9.41,0.02,-0.02,0.0,0
11.33,2325.0,0.29,-0.15,9.42,0.02,-0.02,0.0,0
11.33,2334.0,0.28,-0.16,9.43,0.02,-0.02,0.0,0
11.34,2343.0,0.29,-0.15,9.44,0.02,-0.02,0.0,0
11.34,2352.0,0.28,-0.15,9.46,0.02,-0.02,0.0,0
11.33,2361.0,0.27,-0.15,9.45,0.02,-0.02,0.0,0
11.33,2370.0,0.26,-0.18,9.45,0.02,-0.02,0.0,0
11.33,2379.0,0.3,-0.16,9.4,0.02,-0.02,0.0,0
11.34,2388.0,0.29,-0.16,9.41,0.02,-0.02,0.0,0
11.33,2397.0,0.28,-0.14,9.38,0.02,-0.02,0.0,0
11.33,2406.0,0.27,-0.15,9.42,0.02,-0.02,0.0,0
11.34,2415.0,0.28,-0.15,9.43,0.02,-0.02,0.0,0
11.33,2424.0,0.3,-0.14,9.45,0.02,-0.02,0.0,0
11.33,2433.0,0.28,-0.15,9.45,0.02,-0.02,0.0,0
11.33,2442.0,0.3,-0.16,9.43,0.02,-0.02,0.0,0
11.34,2451.0,0.3,-0.14,9.44,0.02,-0.02,0.0,0
11.33,2460.0,0.28,-0.14,9.44,0.02,-0.02,0.0,0
11.33,2469.0,0.28,-0.14,9.47,0.02,-0.02,0.0,0
11.34,2478.0,0.27,-0.14,9.43,0.02,-0.02,0.0,0
11.34,2487.0,0.29,-0.15,9.44,0.02,-0.02,0.0,0
11.33,2496.0,0.29,-0.16,9.44,0.02,-0.02,0.0,0
11.33,2505.0,0.28,-0.17,9.42,0.02,-0.02,0.0,0
11.33,2514.0,0.29,-0.15,9.45,0.02,-0.02,0.0,0
11.33,2523.0,0.28,-0.17,9.43,0.02,-0.02,0.0,0
11.33,2532.0,0.27,-0.17,9.45,0.02,-0.02,0.0,0
10.43,2541.0,0.27,-0.19,9.45,0.02,-0.02,0.0,0
11.33,2550.0,0.29,-0.17,9.45,0.02,-0.02,0.0,0
11.33,2559.0,0.3,-0.17,9.46,0.02,-0.02,0.0,0
11.34,2568.0,0.31,-0.15,9.45,0.02,-0.02,0.0,0
11.33,2577.0,0.29,-0.15,9.45,0.02,-0.02,0.0,0
11.33,2586.0,0.3,-0.15,9.45,0.02,-0.02,0.0,0
11.33,2595.0,0.29,-0.16,9.44,0.02,-0.02,0.0,0
11.34,2604.0,0.26,-0.16,9.43,0.02,-0.02,0.0,0
10.45,2613.0,0.27,-0.17,9.46,0.02,-0.02,0.0,0
11.33,2622.0,0.27,-0.16,9.43,0.02,-0.02,0.0,0
11.33,2631.0,0.29,-0.16,9.46,0.02,-0.02,0.0,0
11.34,2640.0,0.28,-0.15,9.46,0.02,-0.02,0.0,0
11.33,2649.0,0.27,-0.15,9.47,0.02,-0.02,0.0,0
11.33,2658.0,0.29,-0.16,9.47,0.02,-0.02,0.0,0
10.43,2667.0,0.32,-0.17,9.48,0.02,-0.02,0.0,0
11.34,2676.0,0.3,-0.15,9.44,0.02,-0.02,0.0,0
11.33,2685.0,0.3,-0.16,9.44,0.02,-0.02,0.0,0
11.33,2694.0,0.29,-0.15,9.47,0.02,-0.02,0.0,0
11.33,2703.0,0.28,-0.16,9.45,0.02,-0.02,0.0,0
11.33,2712.0,0.28,-0.16,9.44,0.02,-0.02,0.0,0
11.33,2721.0,0.28,-0.16,9.42,0.02,-0.02,0.0,0
11.33,2730.0,0.29,-0.15,9.41,0.02,-0.02,0.0,0
11.33,2739.0,0.29,-0.14,9.44,0.02,-0.02,0.0,0
11.33,2748.0,0.26,-0.15,9.45,0.02,-0.02,0.0,0
11.33,2757.0,0.27,-0.16,9.44,0.02,-0.02,0.0,0
11.34,2766.0,0.29,-0.14,9.41,0.02,-0.02,0.0,0
11.34,2775.0,0.28,-0.14,9.47,0.02,-0.02,0.0,0
11.33,2784.0,0.29,-0.15,9.42,0.02,-0.02,0.0,0
11.33,2793.0,0.28,-0.17,9.46,0.02,-0.02,0.0,0
11.33,2802.0,0.29,-0.14,9.47,0.02,-0.02,0.0,0
11.33,2811.0,0.28,-0.17,9.45,0.02,-0.02,0.0,0
11.33,2820.0,0.28,-0.16,9.46,0.02,-0.02,0.0,0
11.33,2829.0,0.27,-0.17,9.46,0.02,-0.02,0.0,0
11.33,2838.0,0.3,-0.16,9.45,0.02,-0.02,0.0,0
11.34,2847.0,0.29,-0.16,9.42,0.02,-0.02,0.0,0
11.33,2856.0,0.28,-0.17,9.45,0.02,-0.02,0.0,0
11.33,2865.0,0.28,-0.15,9.45,0.02,-0.02,0.0,0
11.33,2874.0,0.3,-0.14,9.47,0.02,-0.02,0.0,0
11.34,2883.0,0.3,-0.17,9.46,0.02,-0.02,0.0,0
11.33,2892.0,0.28,-0.17,9.48,0.02,-0.02,0.0,0
11.33,2901.0,0.31,-0.17,9.45,0.02,-0.02,0.0,0
11.33,2910.0,0.3,-0.17,9.44,0.02,-0.02,0.0,0
11.34,2919.0,0.29,-0.17,9.42,0.02,-0.02,0.0,0
11.34,2928.0,0.29,-0.16,9.4,0.02,-0.02,0.0,0
11.33,2937.0,0.28,-0.16,9.42,0.02,-0.02,0.0,0
11.33,2946.0,0.28,-0.16,9.44,0.02,-0.02,0.0,0
11.34,2955.0,0.27,-0.17,9.44,0.02,-0.02,0.0,0
11.33,2964.0,0.28,-0.16,9.43,0.02,-0.02,0.0,0
11.33,2973.0,0.28,-0.16,9.47,0.02,-0.02,0.0,0
11.34,2982.0,0.27,-0.14,9.47,0.02,-0.02,0.0,0
11.33,2991.0,0.27,-0.14,9.45,0.02,-0.02,0.0,0
11.33,3000.0,0.28,-0.16,9.45,0.02,-0.02,0.0,0
11.33,3009.0,0.3,-0.14,9.46,0.02,-0.02,0.0,0
11.33,3018.0,0.29,-0.14,9.46,0.02,-0.02,0.0,0
11.33,3027.0,0.27,-0.16,9.45,0.02,-0.02,0.0,0
10.43,3036.0,0.29,-0.15,9.43,0.02,-0.02,0.0,0
10.43,3045.0,0.3,-0.15,9.45,0.02,-0.02,0.0,0
6.88,3054.0,0.3,-0.16,9.45,0.02,-0.02,0.0,0
6.9,3063.0,0.29,-0.17,9.43,0.02,-0.02,0.0,0
6.9,3072.0,0.28,-0.17,9.44,0.03,-0.02,0.0,0
6.88,3081.0,0.27,-0.16,9.45,0.02,-0.02,0.0,0
6.9,3090.0,0.27,-0.17,9.46,0.02,-0.02,0.0,0
6.9,3099.0,0.25,-0.18,9.46,0.02,-0.02,0.0,0
6.88,3108.0,0.28,-0.17,9.44,0.02,-0.02,0.0,0
6.88,3117.0,0.27,-0.16,9.44,0.02,-0.02,0.0,0
6.88,3126.0,0.27,-0.15,9.45,0.02,-0.02,0.0,0
6.88,3135.0,0.26,-0.17,9.46,0.02,-0.02,0.0,0
10.45,3144.0,0.28,-0.15,9.46,0.02,-0.02,0.0,0
10.45,3153.0,0.29,-0.13,9.47,0.02,-0.02,0.0,0
10.43,3162.0,0.3,-0.15,9.42,0.02,-0.02,0.0,0
10.43,3171.0,0.27,-0.16,9.48,0.02,-0.02,0.0,0
10.45,3180.0,0.28,-0.15,9.47,0.02,-0.02,0.0,0
11.33,3189.0,0.29,-0.17,9.43,0.02,-0.02,0.0,0
11.34,3198.0,0.27,-0.17,9.44,0.02,-0.02,0.0,0
11.33,3207.0,0.26,-0.16,9.47,0.02,-0.02,0.0,0
11.33,3216.0,0.28,-0.15,9.47,0.02,-0.02,0.0,0
10.45,3225.0,0.3,-0.14,9.44,0.02,-0.02,0.0,0
10.43,3234.0,0.3,-0.14,9.43,0.02,-0.02,0.0,0
10.45,3243.0,0.28,-0.16,9.46,0.02,-0.02,0.0,0
10.45,3252.0,0.29,-0.15,9.48,0.02,-0.02,0.0,0
10.45,3261.0,0.27,-0.16,9.49,0.02,-0.02,0.0,0
6.88,3270.0,0.27,-0.14,9.46,0.02,-0.02,0.0,0
6.88,3279.0,0.28,-0.16,9.45,0.02,-0.02,0.0,0
9.55,3288.0,0.29,-0.14,9.43,0.02,-0.02,0.0,0
9.55,3297.0,0.29,-0.15,9.45,0.02,-0.02,0.0,0
10.45,3306.0,0.28,-0.16,9.45,0.02,-0.02,0.0,0
10.45,3315.0,0.28,-0.17,9.49,0.02,-0.02,0.0,0
10.45,3324.0,0.29,-0.16,9.46,0.02,-0.02,0.0,0
7.47,3333.0,0.27,-0.16,9.46,0.02,-0.02,0.0,0
7.47,3342.0,0.28,-0.17,9.44,0.02,-0.02,0.0,0
7.47,3351.0,0.29,-0.15,9.43,0.02,-0.02,0.0,0
7.48,3360.0,0.28,-0.16,9.41,0.02,-0.02,0.0,0
7.48,3369.0,0.28,-0.16,9.43,0.02,-0.02,0.0,0
7.48,3378.0,0.29,-0.17,9.44,0.02,-0.02,0.0,0
7.48,3387.0,0.31,-0.16,9.46,0.02,-0.02,0.0,0
7.48,3396.0,0.31,-0.16,9.48,0.02,-0.02,0.0,0
6.59,3405.0,0.28,-0.16,9.49,0.02,-0.01,0.0,0
6.59,3414.0,0.29,-0.15,9.43,0.02,-0.02,0.0,0
6.6,3423.0,0.29,-0.14,9.4,0.02,-0.02,0.0,0
6.59,3432.0,0.28,-0.15,9.44,0.02,-0.02,0.0,0
6.59,3441.0,0.26,-0.17,9.44,0.02,-0.02,0.0,0
6.59,3450.0,0.28,-0.16,9.43,0.02,-0.02,0.0,0
6.59,3459.0,0.31,-0.13,9.46,0.02,-0.02,0.0,0
6.59,3468.0,0.3,-0.13,9.5,0.02,-0.02,0.0,0
7.48,3477.0,0.28,-0.14,9.46,0.02,-0.02,0.0,0
7.48,3486.0,0.27,-0.16,9.46,0.02,-0.01,0.0,0
7.47,3495.0,0.3,-0.16,9.45,0.02,-0.01,0.0,0
7.48,3504.0,0.29,-0.15,9.44,0.02,-0.01,0.0,0
7.48,3513.0,0.25,-0.16,9.43,0.02,-0.01,0.0,0
