DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
480219,3797,480225,0.27,0.00,9.40,0.03,-0.02,0.00,0
480231,3797,480237,0.27,-0.03,9.47,0.03,-0.02,0.00,0
480243,3798,480249,0.25,-0.01,9.48,0.02,-0.02,0.00,0
480255,3797,480261,0.24,-0.02,9.45,0.02,-0.02,0.00,0
480267,3797,480273,0.23,-0.02,9.40,0.02,-0.02,0.00,0
480279,3796,480285,0.25,-0.04,9.39,0.02,-0.02,0.00,0
480291,3797,480297,0.27,-0.04,9.41,0.02,-0.02,0.00,0
480303,3797,480309,0.28,-0.05,9.42,0.03,-0.02,0.00,0
480315,3797,480321,0.25,-0.05,9.45,0.02,-0.02,0.00,0
480327,3797,480333,0.25,-0.04,9.43,0.02,-0.02,0.00,0
480339,3798,480345,0.25,-0.04,9.43,0.02,-0.02,0.00,0
480351,3796,480357,0.26,-0.04,9.43,0.02,-0.02,0.00,0
480363,3797,480369,0.23,-0.02,9.43,0.02,-0.02,0.00,0
480375,3797,480381,0.23,-0.03,9.41,0.02,-0.02,0.00,0
480387,3797,480393,0.22,-0.02,9.41,0.02,-0.02,0.00,0
480399,3797,480405,0.23,-0.03,9.44,0.02,-0.02,0.00,0
480411,3797,480417,0.24,-0.03,9.44,0.02,-0.02,0.00,0
480423,3797,480429,0.25,-0.05,9.43,0.02,-0.02,0.00,0
480435,3416,480441,0.25,-0.03,9.41,0.02,-0.02,0.00,0
480447,3927,480453,0.27,-0.04,9.38,0.02,-0.02,0.00,0
480458,3657,480464,0.25,-0.04,9.41,0.02,-0.02,0.00,0
480471,10052,480484,0.23,-0.04,9.42,0.02,-0.02,0.00,0
480511,3492,480517,0.24,-0.01,9.41,0.02,-0.02,0.00,0
480528,3345,480533,0.24,-0.02,9.39,0.02,-0.02,0.00,0
480539,3091,480544,0.25,-0.02,9.42,0.02,-0.02,0.00,0
480556,6628,480565,0.23,-0.05,9.40,0.02,-0.02,0.00,0
480571,2305,480576,0.25,-0.03,9.40,0.02,-0.02,0.00,0
480589,3122,480595,0.26,-0.01,9.40,0.02,-0.02,0.00,0
480601,2981,480606,0.23,-0.03,9.40,0.02,-0.02,0.00,0
480611,0,480711,0.24,-0.02,9.38,0.02,-0.02,0.00,0
480717,2993,480723,0.24,-0.02,9.40,0.02,-0.02,0.00,0
480727,2035,480731,0.22,-0.04,9.44,0.02,-0.02,0.00,0
480736,1899,480741,0.23,-0.04,9.44,0.02,-0.02,0.00,0
480745,2797,480750,0.24,-0.03,9.45,0.02,-0.02,0.00,0
480754,1872,480759,0.24,-0.03,9.45,0.02,-0.02,0.00,0
480763,2505,480768,0.23,-0.04,9.40,0.02,-0.02,0.00,0
480773,2397,480777,0.25,-0.02,9.38,0.02,-0.02,0.00,0
480782,2798,480787,0.23,-0.04,9.38,0.02,-0.02,0.00,0
480791,1899,480796,0.23,-0.05,9.42,0.02,-0.02,0.00,0
480800,2797,480805,0.26,-0.05,9.38,0.02,-0.02,0.00,0
480809,1872,480814,0.25,-0.04,9.42,0.02,-0.02,0.00,0
480818,2506,480823,0.23,-0.05,9.40,0.02,-0.02,0.00,0
480828,2413,480832,0.23,-0.05,9.44,0.02,-0.02,0.00,0
480837,2798,480842,0.24,-0.02,9.45,0.02,-0.02,0.00,0
480846,1900,480851,0.22,-0.03,9.45,0.02,-0.02,0.00,0
480855,2499,480860,0.24,-0.03,9.43,0.02,-0.02,0.00,0
480864,1872,480869,0.25,-0.02,9.43,0.02,-0.02,0.00,0
480874,2500,480878,0.23,-0.02,9.39,0.02,-0.02,0.00,0
480882,2896,480888,0.22,-0.02,9.39,0.02,-0.02,0.00,0
480892,2064,480896,0.24,-0.04,9.39,0.02,-0.02,0.00,0
480901,2518,480906,0.25,-0.03,9.41,0.02,-0.02,0.00,0
480910,2175,480914,0.24,-0.04,9.41,0.02,-0.02,0.00,0
480919,2846,480924,0.25,-0.03,9.43,0.02,-0.02,0.00,0
480929,1541,480932,0.24,-0.04,9.42,0.02,-0.02,0.00,0
480937,3110,480942,0.23,-0.04,9.40,0.02,-0.02,0.00,0
480947,1675,480951,0.23,-0.04,9.40,0.02,-0.02,0.00,0
480956,2517,480961,0.25,-0.04,9.43,0.02,-0.02,0.00,0
480965,2198,480969,0.23,-0.05,9.42,0.03,-0.02,0.00,0
480974,2844,480979,0.23,-0.04,9.42,0.02,-0.02,0.00,0
480984,1229,480987,0.24,-0.03,9.45,0.02,-0.02,0.00,0
480992,3209,480997,0.24,-0.04,9.42,0.02,-0.02,0.00,0
481002,1674,481006,0.22,-0.04,9.41,0.02,-0.02,0.00,0
481010,3044,481016,0.24,-0.01,9.41,0.02,-0.02,0.00,0
481020,1781,481024,0.23,-0.02,9.43,0.02,-0.02,0.00,0
481029,2842,481034,0.23,-0.02,9.40,0.02,-0.02,0.00,0
481039,1641,481043,0.23,-0.02,9.42,0.02,-0.02,0.00,0
481047,3140,481052,0.25,-0.03,9.45,0.02,-0.02,0.00,0
481057,1675,481061,0.26,-0.03,9.43,0.02,-0.02,0.00,0
481066,2495,481071,0.25,-0.04,9.41,0.02,-0.02,0.00,0
481075,2175,481079,0.25,-0.04,9.39,0.02,-0.02,0.00,0
481084,2659,481089,0.24,-0.04,9.41,0.02,-0.02,0.00,0
481095,3797,481101,0.24,-0.04,9.41,0.02,-0.02,0.00,0
481106,3234,481111,0.27,-0.04,9.40,0.02,-0.02,0.00,0
481117,3234,481123,0.23,-0.04,9.43,0.02,-0.02,0.00,0
481127,2035,481131,0.25,-0.03,9.41,0.02,-0.02,0.00,0
481136,2495,481141,0.23,-0.04,9.44,0.02,-0.02,0.00,0
481145,2174,481149,0.23,-0.03,9.43,0.02,-0.02,0.00,0
481154,2887,481159,0.26,-0.04,9.41,0.02,-0.02,0.00,0
481163,2185,481167,0.26,-0.04,9.43,0.02,-0.02,0.00,0
481172,2565,481177,0.25,-0.04,9.41,0.02,-0.02,0.00,0
481181,1877,481186,0.24,-0.03,9.41,0.02,-0.02,0.00,0
481190,2614,481195,0.24,-0.04,9.40,0.02,-0.02,-0.00,0
481199,2237,481204,0.23,-0.05,9.41,0.02,-0.02,0.00,0
481209,2340,481213,0.23,-0.04,9.41,0.02,-0.02,0.00,0
481217,3030,481223,0.24,-0.02,9.39,0.02,-0.02,0.00,0
481227,2135,481231,0.23,-0.03,9.41,0.02,-0.02,0.00,0
481236,3036,481241,0.23,-0.04,9.42,0.02,-0.02,0.00,0
481246,3657,481252,0.23,-0.03,9.43,0.02,-0.02,0.00,0
481256,3184,481262,0.25,-0.01,9.42,0.02,-0.02,0.00,0
481266,1392,481270,0.26,0.00,9.43,0.02,-0.02,0.00,0
481274,2911,481280,0.25,-0.01,9.42,0.02,-0.02,0.00,0
481284,1489,481288,0.24,-0.04,9.42,0.02,-0.02,0.00,0
481293,3036,481298,0.26,-0.02,9.40,0.02,-0.02,0.00,0
481302,2406,481307,0.27,-0.04,9.41,0.02,-0.02,0.00,0
481311,2678,481316,0.23,-0.04,9.43,0.02,-0.02,0.00,0
481321,2037,481325,0.23,-0.05,9.41,0.02,-0.02,0.00,0
481329,2741,481335,0.24,-0.03,9.43,0.02,-0.02,0.00,0
481340,2910,481346,0.23,-0.04,9.40,0.02,-0.02,0.00,0
481350,1614,481354,0.24,-0.04,9.43,0.02,-0.02,0.00,0
481359,2880,481364,0.23,-0.03,9.43,0.02,-0.02,0.00,0
