DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
3867223,39,3867228,0.06,-0.31,9.45,0.02,-0.02,0.00,0
3867242,39,3867247,0.07,-0.31,9.46,0.02,-0.02,0.00,0
3867261,39,3867266,0.06,-0.33,9.44,0.02,-0.02,0.00,0
3867280,39,3867285,0.05,-0.32,9.45,0.02,-0.02,0.00,0
3867299,39,3867304,0.04,-0.31,9.44,0.02,-0.02,0.00,0
3867318,39,3867323,0.06,-0.31,9.46,0.02,-0.02,0.00,0
3867337,34,3867342,0.09,-0.33,9.39,0.02,-0.02,0.00,0
3867356,47,3867361,0.06,-0.32,9.45,0.02,-0.02,0.00,0
3867375,36,3867380,0.09,-0.33,9.44,0.02,-0.02,0.00,0
3867393,0,3868393,0.04,-0.32,9.45,0.02,-0.02,0.00,0
3868408,42,3868413,0.04,-0.32,9.45,0.02,-0.02,0.00,0
3868426,35,3868431,0.05,-0.32,9.44,0.02,-0.02,0.00,0
3868445,38,3868449,0.04,-0.32,9.42,0.02,-0.02,0.00,0
3868463,39,3868468,0.05,-0.30,9.41,0.02,-0.02,0.00,0
3868481,37,3868485,0.04,-0.32,9.46,0.02,-0.02,0.00,0
3868499,40,3868503,0.07,-0.30,9.46,0.02,-0.02,0.00,0
3868517,39,3868521,0.06,-0.32,9.43,0.02,-0.02,0.00,0
3868535,43,3868539,0.06,-0.32,9.45,0.02,-0.02,0.00,0
3868553,39,3868558,0.07,-0.30,9.45,0.02,-0.02,0.00,0
3868571,34,3868575,0.06,-0.32,9.46,0.02,-0.02,0.00,0
3868588,39,3868593,0.06,-0.32,9.43,0.02,-0.02,0.00,0
3868606,34,3868610,0.06,-0.32,9.46,0.02,-0.02,0.00,0
3868624,39,3868629,0.06,-0.32,9.45,0.02,-0.02,0.00,0
3868644,40,3868648,0.06,-0.29,9.49,0.02,-0.02,0.00,0
3868662,39,3868666,0.08,-0.30,9.43,0.02,-0.02,0.00,0
3868679,43,3868684,0.06,-0.33,9.47,0.02,-0.02,0.00,0
3868697,40,3868702,0.05,-0.32,9.45,0.02,-0.02,0.00,0
3868716,38,3868721,0.09,-0.32,9.44,0.02,-0.02,0.00,0
3868734,34,3868739,0.06,-0.32,9.46,0.02,-0.02,0.00,0
3868752,42,3868757,0.05,-0.31,9.46,0.02,-0.02,0.00,0
3868770,37,3868774,0.06,-0.33,9.41,0.02,-0.02,-0.00,0
3868788,39,3868793,0.06,-0.32,9.45,0.02,-0.02,0.00,0
3868806,38,3868811,0.06,-0.31,9.46,0.02,-0.02,0.00,0
3868824,34,3868828,0.07,-0.33,9.45,0.02,-0.02,0.00,0
3868842,39,3868846,0.05,-0.32,9.43,0.02,-0.02,0.00,0
3868859,34,3868864,0.06,-0.31,9.45,0.02,-0.02,0.00,0
3868877,42,3868882,0.04,-0.30,9.46,0.02,-0.02,0.00,0
3868895,37,3868899,0.05,-0.33,9.42,0.02,-0.02,0.00,0
3868913,39,3868918,0.09,-0.33,9.44,0.02,-0.02,0.00,0
3868931,38,3868936,0.04,-0.32,9.46,0.02,-0.02,-0.00,0
3868949,34,3868953,0.05,-0.32,9.46,0.02,-0.02,0.00,0
3868967,39,3868971,0.04,-0.34,9.44,0.02,-0.02,0.00,0
3868984,34,3868989,0.07,-0.32,9.45,0.02,-0.02,0.00,0
3869002,42,3869007,0.03,-0.33,9.42,0.02,-0.02,0.00,0
3869020,39,3869025,0.06,-0.31,9.45,0.02,-0.02,0.00,0
3869038,39,3869043,0.06,-0.32,9.47,0.02,-0.02,0.00,0
3869056,38,3869061,0.06,-0.31,9.45,0.02,-0.02,0.00,0
3869074,34,3869078,0.05,-0.32,9.41,0.02,-0.02,0.00,0
3869092,39,3869096,0.07,-0.33,9.45,0.02,-0.02,0.00,0
3869109,34,3869114,0.06,-0.32,9.44,0.02,-0.02,0.00,0
3869127,42,3869132,0.07,-0.34,9.45,0.02,-0.02,0.00,0
3869145,37,3869149,0.07,-0.32,9.43,0.02,-0.02,0.00,0
3869163,39,3869168,0.07,-0.32,9.43,0.02,-0.02,0.00,0
3869181,38,3869186,0.04,-0.33,9.45,0.02,-0.02,0.00,0
3869199,34,3869203,0.07,-0.32,9.43,0.02,-0.02,0.00,0
3869217,39,3869221,0.06,-0.31,9.45,0.02,-0.02,0.00,0
3869234,42,3869239,0.06,-0.31,9.46,0.02,-0.02,0.00,0
3869252,41,3869257,0.05,-0.31,9.45,0.02,-0.02,0.00,0
3869271,34,3869275,0.05,-0.32,9.43,0.02,-0.02,0.00,0
3869288,42,3869293,0.04,-0.32,9.45,0.02,-0.02,0.00,0
3869306,39,3869311,0.04,-0.31,9.42,0.02,-0.02,0.00,0
3869325,39,3869330,0.06,-0.34,9.45,0.02,-0.02,0.00,0
3869345,39,3869350,0.06,-0.32,9.45,0.02,-0.02,0.00,0
3869364,41,3869369,0.05,-0.34,9.45,0.02,-0.02,0.00,0
